task_id,split,family,scaffold,model,model_version,job_id,attempts_total,attempts_completed,k,successes_out_of_k,pass_at_k,timeout_count,infra_fail_count,score_values,transcript_link,failure_label,qa_stage,qa_findings_status
lt-001,dev,algorithm_correctness,one-shot,reference_solution,lean-4.28.0-local,local-qa-reference_solution-lt-001,1,1,1,1,1.0,0,0,1.0,transcripts/local-qa/lt-001.jsonl,none,local_qa,passed
lt-001,dev,algorithm_correctness,one-shot,plausible_wrong:Weakened,lean-4.28.0-local,local-qa-plausible_wrong:Weakened-lt-001,1,1,1,0,0.0,0,0,0.0,transcripts/local-qa/lt-001.jsonl,hidden_pin_failure,local_qa,expected_failure
lt-002,dev,algorithm_correctness,one-shot,reference_solution,lean-4.28.0-local,local-qa-reference_solution-lt-002,1,1,1,1,1.0,0,0,1.0,transcripts/local-qa/lt-002.jsonl,none,local_qa,passed
lt-002,dev,algorithm_correctness,one-shot,plausible_wrong:Weakened,lean-4.28.0-local,local-qa-plausible_wrong:Weakened-lt-002,1,1,1,0,0.0,0,0,0.0,transcripts/local-qa/lt-002.jsonl,hidden_pin_failure,local_qa,expected_failure
lt-003,dev,proof_repair_codebase,one-shot,reference_solution,lean-4.28.0-local,local-qa-reference_solution-lt-003,1,1,1,1,1.0,0,0,1.0,transcripts/local-qa/lt-003.jsonl,none,local_qa,passed
lt-003,dev,proof_repair_codebase,one-shot,plausible_wrong:OldApiProof,lean-4.28.0-local,local-qa-plausible_wrong:OldApiProof-lt-003,1,1,1,0,0.0,0,0,0.0,transcripts/local-qa/lt-003.jsonl,hidden_pin_failure,local_qa,expected_failure
lt-004,dev,informal_spec_to_formal,one-shot,reference_solution,lean-4.28.0-local,local-qa-reference_solution-lt-004,1,1,1,1,1.0,0,0,1.0,transcripts/local-qa/lt-004.jsonl,none,local_qa,passed
lt-004,dev,informal_spec_to_formal,one-shot,plausible_wrong:Vacuous,lean-4.28.0-local,local-qa-plausible_wrong:Vacuous-lt-004,1,1,1,0,0.0,0,0,0.0,transcripts/local-qa/lt-004.jsonl,hidden_pin_failure,local_qa,expected_failure
lt-005,dev,invariant_verification_ml_optimization,one-shot,reference_solution,lean-4.28.0-local,local-qa-reference_solution-lt-005,1,1,1,1,1.0,0,0,1.0,transcripts/local-qa/lt-005.jsonl,none,local_qa,passed
lt-005,dev,invariant_verification_ml_optimization,one-shot,plausible_wrong:IdentityProjection,lean-4.28.0-local,local-qa-plausible_wrong:IdentityProjection-lt-005,1,1,1,0,0.0,0,0,0.0,transcripts/local-qa/lt-005.jsonl,hidden_pin_failure,local_qa,expected_failure
lt-101,test,algorithm_correctness,one-shot,reference_solution,lean-4.28.0-local,local-qa-reference_solution-lt-101,1,1,1,1,1.0,0,0,1.0,transcripts/local-qa/lt-101.jsonl,none,local_qa,passed
lt-101,test,algorithm_correctness,one-shot,plausible_wrong:WeakHelper,lean-4.28.0-local,local-qa-plausible_wrong:WeakHelper-lt-101,1,1,1,0,0.0,0,0,0.0,transcripts/local-qa/lt-101.jsonl,hidden_pin_failure,local_qa,expected_failure
lt-102,test,algorithm_correctness,one-shot,reference_solution,lean-4.28.0-local,local-qa-reference_solution-lt-102,1,1,1,1,1.0,0,0,1.0,transcripts/local-qa/lt-102.jsonl,none,local_qa,passed
lt-102,test,algorithm_correctness,one-shot,plausible_wrong:AllSomeOnly,lean-4.28.0-local,local-qa-plausible_wrong:AllSomeOnly-lt-102,1,1,1,0,0.0,0,0,0.0,transcripts/local-qa/lt-102.jsonl,hidden_pin_failure,local_qa,expected_failure
lt-103,test,algorithm_correctness,one-shot,reference_solution,lean-4.28.0-local,local-qa-reference_solution-lt-103,1,1,1,1,1.0,0,0,1.0,transcripts/local-qa/lt-103.jsonl,none,local_qa,passed
lt-103,test,algorithm_correctness,one-shot,plausible_wrong:LeafOnly,lean-4.28.0-local,local-qa-plausible_wrong:LeafOnly-lt-103,1,1,1,0,0.0,0,0,0.0,transcripts/local-qa/lt-103.jsonl,hidden_pin_failure,local_qa,expected_failure
lt-104,test,proof_repair_codebase,one-shot,reference_solution,lean-4.28.0-local,local-qa-reference_solution-lt-104,1,1,1,1,1.0,0,0,1.0,transcripts/local-qa/lt-104.jsonl,none,local_qa,passed
lt-104,test,proof_repair_codebase,one-shot,plausible_wrong:EmptyOnly,lean-4.28.0-local,local-qa-plausible_wrong:EmptyOnly-lt-104,1,1,1,0,0.0,0,0,0.0,transcripts/local-qa/lt-104.jsonl,hidden_pin_failure,local_qa,expected_failure
lt-105,test,proof_repair_codebase,one-shot,reference_solution,lean-4.28.0-local,local-qa-reference_solution-lt-105,1,1,1,1,1.0,0,0,1.0,transcripts/local-qa/lt-105.jsonl,none,local_qa,passed
