task_id,title,split,family,domain,source_type,human_time_bucket,human_minutes_p50,human_minutes_p90,human_estimate_confidence,skills,scaffolds,expected_failure_modes,scaffold_sensitivity,qa_status
lt-001,append correctness for a list sum,dev,algorithm_correctness,list_recursion_arithmetic,authored,T1,25,45,medium; short induction with familiar list recursion,"[""induction"", ""simp normalization"", ""arithmetic rewriting""]","[""one-shot"", ""lookup"", ""lookup_unlimited""]","[""wrong induction variable"", ""associativity normalization failure"", ""target weakening""]",low_to_medium; lookup helps with arithmetic normalization lemmas,local_only
lt-002,append correctness for a Boolean counter,dev,algorithm_correctness,list_recursion_boolean_counter,authored,T1,20,40,medium; short list induction plus Bool case split,"[""induction"", ""case analysis"", ""simp normalization""]","[""one-shot"", ""lookup"", ""lookup_unlimited""]","[""missed Bool cases"", ""append associativity confusion"", ""target weakening""]",low; compile feedback mainly helps tactic cleanup,local_only
lt-003,queue enqueueAll size repair,dev,proof_repair_codebase,small_queue_api_change,authored,T1,35,60,medium; small proof repair over a two-field structure,"[""codebase navigation"", ""recursive proof repair"", ""arithmetic normalization""]","[""one-shot"", ""lookup"", ""lookup_unlimited""]","[""old representation assumption"", ""failure to generalize queue"", ""target weakening""]",medium; iterative compile feedback helps repair the generalized induction,local_only
lt-004,formalize prefix as append by a suffix,dev,informal_spec_to_formal,list_relation_specification,authored,T1,30,55,medium; concise existential formalization with semantic pin review,"[""semantic formalization"", ""existential witnesses"", ""edge-case rejection""]","[""one-shot"", ""lookup"", ""lookup_unlimited""]","[""vacuous True spec"", ""suffix direction reversed"", ""missing edge-case rejection""]",medium; hidden pins primarily test semantic interpretation rather than API lookup,local_only
lt-005,capped projection invariant and idempotence,dev,invariant_verification_ml_optimization,toy_projected_optimizer,authored,T1,25,50,medium; short conditional invariant and idempotence proof,"[""case split on conditionals"", ""invariant preservation"", ""idempotence reasoning""]","[""one-shot"", ""lookup"", ""lookup_unlimited""]","[""forgets high-side branch"", ""proves only under precondition"", ""changes projection semantics""]",medium; compile feedback helps with conditional splits and arithmetic obligations,local_only
lt-101,tail-recursive reverse preserves length,test,algorithm_correctness,tail_recursion_list_reverse,authored,T1,35,70,medium; estimate by author for a Lean user familiar with list induction,"[""generalized induction"", ""accumulator invariants"", ""arithmetic normalization""]","[""one-shot"", ""lookup"", ""lookup_unlimited""]","[""fails to generalize accumulator"", ""proves only empty-accumulator case"", ""arithmetic associativity cleanup""]",medium; lookup and retries help discover generalizing acc and length_append,local_only
lt-102,extracting present optional values cannot increase length,test,algorithm_correctness,option_list_filtering,authored,T1,25,50,medium; short structural induction with option case split,"[""structural induction"", ""case analysis"", ""list length reasoning""]","[""one-shot"", ""lookup"", ""lookup_unlimited""]","[""misses none case"", ""adds unnecessary all-some precondition"", ""gets stuck on option cases""]",low_to_medium; compile feedback helps identify missing option case,local_only
lt-103,mirroring a binary tree preserves size,test,algorithm_correctness,binary_tree_recursion,authored,T1,40,80,medium; requires two induction hypotheses and arithmetic normalization,"[""tree induction"", ""recursive specification"", ""arithmetic normalization""]","[""one-shot"", ""lookup"", ""lookup_unlimited""]","[""drops one induction hypothesis"", ""proves only leaf case"", ""stuck on commuted addition""]",medium; lookup helps find arithmetic commutativity/associativity simp pattern,local_only
lt-104,stack pushAll size proof repair,test,proof_repair_codebase,small_stack_api_change,authored,T1,35,65,medium; analogous to small codebase API repair with generalized induction,"[""codebase navigation"", ""generalized induction"", ""API repair"", ""arithmetic normalization""]","[""one-shot"", ""lookup"", ""lookup_unlimited""]","[""uses obsolete pushAll equation"", ""fails to generalize stack"", ""weakens theorem to empty list""]",medium; compile/debug iterations help expose the missing generalized induction,local_only
lt-105,counter batched increment proof repair,test,proof_repair_codebase,small_counter_api_change,authored,T2,55,110,medium; requires accumulator-style codebase repair and arithmetic re-association,"[""codebase navigation"", ""recursive proof repair"", ""sum specification"", ""arithmetic normalization""]","[""one-shot"", ""lookup"", ""lookup_unlimited""]","[""handles only singleton increments"", ""wrong sum order"", ""misses generalized counter induction""]",medium_to_high; iterative compile/debug helps align recursive equation and sum algebra,local_only
lt-106,formalize suffix as append after a prefix,test,informal_spec_to_formal,list_relation_specification,authored,T1,30,60,medium; natural-language relation plus simple existential witnesses,"[""semantic formalization"", ""existential witnesses"", ""edge-case rejection""]","[""one-shot"", ""lookup"", ""lookup_unlimited""]","[""reverses suffix direction"", ""uses vacuous True spec"", ""misses impossible nonempty suffix of empty list""]",medium; stronger scaffolds help debug semantic mismatches but not ambiguous specs,local_only
lt-107,formalize contains-all as membership implication,test,informal_spec_to_formal,list_membership_specification,authored,T2,50,100,medium; semantic spec plus membership API use,"[""semantic formalization"", ""membership reasoning"", ""implication interface design""]","[""one-shot"", ""lookup"", ""lookup_unlimited""]","[""vacuous relation"", ""wrong quantifier direction"", ""membership simp failure""]",high; lookup can help with list membership simplification while hidden pins test semantic correctness,local_only
lt-108,formalize adjacent nondecreasing order,test,informal_spec_to_formal,ordered_list_specification,authored,T2,60,120,medium; recursive semantic interface with constructor lemmas,"[""semantic formalization"", ""recursive predicate design"", ""constructor-style proof""]","[""one-shot"", ""lookup"", ""lookup_unlimited""]","[""vacuous predicate"", ""checks global instead of adjacent order"", ""drops tail invariant""]","medium; hidden pins diagnose semantic mismatch, retries help align recursive equations",local_only
lt-109,bounded budget spend invariant,test,invariant_verification_ml_optimization,resource_budget_update,authored,T1,30,60,medium; conditional arithmetic invariant proof,"[""case split on conditionals"", ""invariant preservation"", ""natural-number arithmetic""]","[""one-shot"", ""lookup"", ""lookup_unlimited""]","[""changes overspend semantics"", ""proves only subtracting branch"", ""misses repeated-spend invariant""]",medium; compile feedback helps conditional branch and arithmetic cleanup,local_only
lt-110,toy descent step monotonicity,test,invariant_verification_ml_optimization,simplified_gradient_descent_nat,authored,T1,25,50,medium; arithmetic invariant with a small composed-step proof,"[""invariant preservation"", ""transitive inequality"", ""natural-number subtraction""]","[""one-shot"", ""lookup"", ""lookup_unlimited""]","[""adds unnecessary gradient precondition"", ""fails to compose monotonicity"", ""changes saturating subtraction semantics""]",low_to_medium; lookup helps find Nat.le_trans or subtraction lemmas,local_only
