step_id,phase,status,command,expected_artifacts,claim_supported,evidence_basis,failure_interpretation,limitation,next_action
mathlib_cache_get,local_replay,ready,lake exe cache get,.lake/packages/mathlib/.lake/build/lib/lean,Mathlib dependency artifacts can be materialized before tasks importing Mathlib are validated.,Process exit code plus clean-workspace replay for dependency materialization.,A failure blocks clean-checkout validation for Mathlib-heavy public tasks until cache/build setup is repaired.,This is local dependency-cache evidence; hosted environments may use a different cache path.,Run before lake build in fresh workspaces or CI.
toolchain_build,local_replay,ready,lake build,,Lean project and imported task libraries build in the configured toolchain.,Process exit code plus current validation manifest command coverage.,"A failure blocks local artifact validity until the Lean toolchain, dependencies, or repository sources are repaired.",This is local build evidence; it is not hosted QA or provider-sandbox evidence.,Run from a clean checkout before release tagging and record the environment.
task_validation,local_replay,ready,python scripts/validate_all.py,data/task_metadata.csv;data/validation_commands.csv,Reference solutions pass and plausible wrong submissions fail for every task under the local grader.,"Validation command output, task metadata projection, and local QA transcripts after record_local_qa_results.py.","Any failed reference, accepted wrong, missing metadata, or invalid task row blocks release claims for that task.",This validates local hidden checks and wrong submissions; it does not prove model performance.,"Fix the task or downgrade it, then rerun the full local gate."
difficulty_review,local_replay,ready,python scripts/audit_difficulty.py,data/difficulty_audit.csv;reports/difficulty_audit.md,Accepted and calibration rows have mechanical proof-profile evidence and manual difficulty-review fields.,"Reference proof length, tactic profile, automation flags, hidden-pin strength, and reviewer notes.",Missing or stale difficulty evidence weakens task-quality claims and should block acceptance changes.,The audit combines static heuristics with human judgment; it is not independent human timing.,"Refresh after any task, proof, metadata, or acceptance-status edit."
local_qa_rows,local_replay,ready,python scripts/record_local_qa_results.py,data/run_results.csv;transcripts,Local QA rows are replayable validation evidence for references and plausible wrong submissions.,Local transcript JSONL files and run_results rows with qa_stage=local_qa.,Bad local QA rows block run-data integrity and task acceptance claims.,Local QA rows must stay excluded from model-performance estimates.,"Regenerate after task or grader edits, then rerun run-integrity checks."
run_integrity,local_replay,ready,python scripts/audit_run_integrity.py,data/run_integrity_audit.csv;reports/run_integrity_audit.md,"run_results rows are internally consistent with transcripts, pass@k arithmetic, and failure labels.","Transcript existence/parse checks, score-vector checks, and pass_at_k/successes_out_of_k validation.",Integrity failures block use of committed run rows until repaired or removed.,Passing integrity checks do not imply adequate provider sample size.,Run after any provider sweep or local QA regeneration.
analysis_decision_register,local_replay,ready,python scripts/generate_analysis_decision_register.py,data/analysis_decision_register.csv;reports/analysis_decision_register.md,"The planned model analysis has explicit preregistered inclusion, endpoint, coverage, subgroup, failure-label, timing, and freeze decisions.","Model-sweep plan, run-results schema, statistical thresholds, coverage audit, failure-label schema, timing rows, and hosted-readiness rows.",A stale or missing register weakens pre-analysis transparency and should block stronger report-quality claims until regenerated.,The register fixes analysis rules but does not create provider rows or unlock performance claims.,"Run after sweep-plan, schema, statistical-threshold, timing, failure-label, or hosted-readiness changes."
peer_review_matrix,local_replay,ready,python scripts/generate_peer_review_matrix.py,data/peer_review_matrix.csv;reports/peer_review_matrix.md,"Skeptical reviewer questions, defensible answers, residual risks, and upgrade evidence are synthesized from committed audits.","Requirement coverage, claim authorization, model-sweep coverage, validation, hosted-readiness, and roadmap artifacts.",A missing or stale matrix weakens reviewer-facing report quality but does not by itself create or invalidate model evidence.,The matrix is a synthesis of existing evidence and does not resolve blocked external-evidence gaps.,Run after requirement coverage and claim authorization regenerate.
model_sweep_coverage,local_replay,ready,python scripts/audit_model_sweep_coverage.py,data/model_sweep_coverage_audit.csv;reports/model_sweep_coverage_audit.md,Planned accepted-core task/scaffold/pass@k cells are mapped to committed provider rows with smoke-only cells separated from pass@k-ready cells.,"The model sweep plan, run_results rows, k values, completed attempts, infra counts, and transcript links.",Coverage-audit failures or missing rows block scaffold-effect and frontier-performance claims until repaired.,This audit does not create new model evidence; it only classifies coverage of existing rows.,Run after model-result analysis and after every provider sweep.
passk_claim_boundaries,local_replay,ready,python scripts/audit_passk_claim_boundaries.py,data/passk_claim_boundary_audit.csv;reports/passk_claim_boundary_audit.md,Report artifacts keep exact-k pass@k-ready cells separate from smoke-only or missing planned cells.,"Strict model-sweep coverage rows plus text scans of report, statistical, release, freeze, claim, and requirement artifacts.",Any failure means provider smoke rows may be overstated and report wording must be fixed before publication.,This audit prevents wording drift; it does not create additional provider attempts or performance evidence.,"Run after report regeneration, release/freeze regeneration, and every provider sweep."
