cell_id,task_id,split,family,human_time_bucket,scaffold,analysis_set,planned_k,provider_rows,noninfra_rows,exact_k_noninfra_rows,max_noninfra_k,max_attempts_completed,successes_out_of_k_total,pass_at_k_values,model_versions,job_ids,transcript_links,coverage_status,evidence,limitation,next_action
lt-201:one-shot,lt-201,dev,proof_repair_codebase,T2,one-shot,primary_accepted_v0,10,2,1,0,1,1,0,[],anthropic:claude-sonnet-4-6,anthropic-claude-sonnet-4-6-one-shot-1780206126;anthropic-claude-sonnet-4-6-one-shot-1780206167,transcripts/anthropic-claude-sonnet-4-6-one-shot-1780206126/lt-201.jsonl;transcripts/anthropic-claude-sonnet-4-6-one-shot-1780206167/lt-201.jsonl,smoke_only,"1 non-infra row(s), but max_k=1 and max_attempts_completed=1 are below planned_k=10.","Current rows are smoke evidence, not a planned pass@k result.",Run this task/scaffold with the planned k and commit the full score vector and transcript.
lt-201:lookup,lt-201,dev,proof_repair_codebase,T2,lookup,primary_accepted_v0,10,0,0,0,0,0,0,[],,,,missing,No committed non-local row matches this planned task/scaffold cell.,The planned pass@k cell is unobserved.,Run the planned sweep command for this task/scaffold and commit transcripts/results.
lt-201:lookup_unlimited,lt-201,dev,proof_repair_codebase,T2,lookup_unlimited,primary_accepted_v0,10,0,0,0,0,0,0,[],,,,missing,No committed non-local row matches this planned task/scaffold cell.,The planned pass@k cell is unobserved.,Run the planned sweep command for this task/scaffold and commit transcripts/results.
lt-203:one-shot,lt-203,dev,informal_spec_to_formal,T2,one-shot,primary_accepted_v0,10,0,0,0,0,0,0,[],,,,missing,No committed non-local row matches this planned task/scaffold cell.,The planned pass@k cell is unobserved.,Run the planned sweep command for this task/scaffold and commit transcripts/results.
lt-203:lookup,lt-203,dev,informal_spec_to_formal,T2,lookup,primary_accepted_v0,10,0,0,0,0,0,0,[],,,,missing,No committed non-local row matches this planned task/scaffold cell.,The planned pass@k cell is unobserved.,Run the planned sweep command for this task/scaffold and commit transcripts/results.
lt-203:lookup_unlimited,lt-203,dev,informal_spec_to_formal,T2,lookup_unlimited,primary_accepted_v0,10,0,0,0,0,0,0,[],,,,missing,No committed non-local row matches this planned task/scaffold cell.,The planned pass@k cell is unobserved.,Run the planned sweep command for this task/scaffold and commit transcripts/results.
lt-202:one-shot,lt-202,test,direct_theorem_proving,T2,one-shot,primary_accepted_v0,10,0,0,0,0,0,0,[],,,,missing,No committed non-local row matches this planned task/scaffold cell.,The planned pass@k cell is unobserved.,Run the planned sweep command for this task/scaffold and commit transcripts/results.
lt-202:lookup,lt-202,test,direct_theorem_proving,T2,lookup,primary_accepted_v0,10,0,0,0,0,0,0,[],,,,missing,No committed non-local row matches this planned task/scaffold cell.,The planned pass@k cell is unobserved.,Run the planned sweep command for this task/scaffold and commit transcripts/results.
lt-202:lookup_unlimited,lt-202,test,direct_theorem_proving,T2,lookup_unlimited,primary_accepted_v0,10,0,0,0,0,0,0,[],,,,missing,No committed non-local row matches this planned task/scaffold cell.,The planned pass@k cell is unobserved.,Run the planned sweep command for this task/scaffold and commit transcripts/results.
lt-204:one-shot,lt-204,test,invariant_verification_ml_optimization,T2,one-shot,primary_accepted_v0,10,0,0,0,0,0,0,[],,,,missing,No committed non-local row matches this planned task/scaffold cell.,The planned pass@k cell is unobserved.,Run the planned sweep command for this task/scaffold and commit transcripts/results.
lt-204:lookup,lt-204,test,invariant_verification_ml_optimization,T2,lookup,primary_accepted_v0,10,0,0,0,0,0,0,[],,,,missing,No committed non-local row matches this planned task/scaffold cell.,The planned pass@k cell is unobserved.,Run the planned sweep command for this task/scaffold and commit transcripts/results.
lt-204:lookup_unlimited,lt-204,test,invariant_verification_ml_optimization,T2,lookup_unlimited,primary_accepted_v0,10,0,0,0,0,0,0,[],,,,missing,No committed non-local row matches this planned task/scaffold cell.,The planned pass@k cell is unobserved.,Run the planned sweep command for this task/scaffold and commit transcripts/results.
lt-205:one-shot,lt-205,test,small_formal_library_construction,T3,one-shot,primary_accepted_v0,10,0,0,0,0,0,0,[],,,,missing,No committed non-local row matches this planned task/scaffold cell.,The planned pass@k cell is unobserved.,Run the planned sweep command for this task/scaffold and commit transcripts/results.
lt-205:lookup,lt-205,test,small_formal_library_construction,T3,lookup,primary_accepted_v0,10,0,0,0,0,0,0,[],,,,missing,No committed non-local row matches this planned task/scaffold cell.,The planned pass@k cell is unobserved.,Run the planned sweep command for this task/scaffold and commit transcripts/results.
lt-205:lookup_unlimited,lt-205,test,small_formal_library_construction,T3,lookup_unlimited,primary_accepted_v0,10,0,0,0,0,0,0,[],,,,missing,No committed non-local row matches this planned task/scaffold cell.,The planned pass@k cell is unobserved.,Run the planned sweep command for this task/scaffold and commit transcripts/results.
lt-206:one-shot,lt-206,test,algorithm_correctness,T2,one-shot,primary_accepted_v0,10,0,0,0,0,0,0,[],,,,missing,No committed non-local row matches this planned task/scaffold cell.,The planned pass@k cell is unobserved.,Run the planned sweep command for this task/scaffold and commit transcripts/results.
lt-206:lookup,lt-206,test,algorithm_correctness,T2,lookup,primary_accepted_v0,10,0,0,0,0,0,0,[],,,,missing,No committed non-local row matches this planned task/scaffold cell.,The planned pass@k cell is unobserved.,Run the planned sweep command for this task/scaffold and commit transcripts/results.
lt-206:lookup_unlimited,lt-206,test,algorithm_correctness,T2,lookup_unlimited,primary_accepted_v0,10,0,0,0,0,0,0,[],,,,missing,No committed non-local row matches this planned task/scaffold cell.,The planned pass@k cell is unobserved.,Run the planned sweep command for this task/scaffold and commit transcripts/results.
