requirement_id,area,requirement,freeze_relevance,source_note,status,evidence,gap_or_next_step
portfolio_accepted_count,portfolio,Final benchmark should contain 20-50 accepted tasks after QA and filtering.,required_for_locked_benchmark,Playbook project target and user benchmark-size requirement.,not_met,6 accepted_v0 tasks; 8 calibration-only tasks; 12 rejected archive tasks.,Add and hard-review more high-quality T2/T3/T4 tasks before claiming a full benchmark.
dev_test_split,portfolio,Accepted tasks should preserve a dev/test split.,required_for_locked_benchmark,Playbook split and difficulty design requirement.,supported,"Accepted split counts: {""dev"": 2, ""test"": 4}.",No gap.
mixed_realistic_portfolio,portfolio,Task families should be mixed and not mostly direct theorem proving.,required_for_locked_benchmark,Playbook recommended task portfolio requirement.,supported,"Accepted family counts: {""algorithm_correctness"": 1, ""direct_theorem_proving"": 1, ""informal_spec_to_formal"": 1, ""invariant_verification_ml_optimization"": 1, ""proof_repair_codebase"": 1, ""small_formal_library_construction"": 1}.",No gap.
time_horizon_spread,portfolio,"Accepted tasks should span increasing human-time horizons, not only T0/T1/T2 calibration.",required_for_locked_benchmark,Playbook time-horizon design and user long-horizon objective.,partial,"Accepted bucket counts: {""T2"": 5, ""T3"": 1}; release bucket counts: {""T1"": 8, ""T2"": 5, ""T3"": 1}.","Add more accepted T3/T4 tasks, including a T4 stretch row, and independently review human times."
public_prompts_scaffolds,assets,Each release task should include public prompt and public Lean scaffold files.,required_for_release_artifact,Playbook prompt and public-asset standards.,supported,Release assets: 14/14 prompts; 14/14 public-file sets.,No gap.
prompt_contract_audit,reporting,Prompt contract audit should check release prompts for edit scope theorem/import policy helper-lemma policy forbidden constructs submission format tool affordance and hidden-material leaks.,required_for_research_report,Research-report quality requirement for public prompt validity.,supported,prompt contract rows: 14; release rows: 14; failures: 0; leak rows: 0; report exists: True.,No gap.
hidden_references_pins,grading,Each release task should have hidden reference proof and hidden semantic PinCheck.,required_for_release_artifact,Playbook Lean grader architecture and hidden semantic pins sections.,supported,Release hidden assets: 14/14 references; 14/14 PinCheck files.,No gap.
wrong_submission_controls,grading,Accepted tasks should include plausible wrong submissions that fail for meaningful reasons.,required_for_release_artifact,User QA requirement and playbook local validation loop.,supported,Accepted tasks with at least two wrong submissions: 6/6.,No gap.
automatic_lean_scoring,grading,Scoring should use Lean wherever possible and provide validation commands.,required_for_release_artifact,Playbook Lean grader architecture.,supported,validate_task.py exists: True; validation command rows: 66.,No gap.
forbidden_construct_scan,integrity,Submissions should be scanned for forbidden constructs before Lean grading.,required_for_release_artifact,Playbook integrity and reward-hack hardening.,supported,forbidden_constructs.py exists: True; validate_task calls scanner: True.,No gap.
axiom_audit_policy,integrity,Axiom usage should be audited or governed by a documented policy.,required_for_release_artifact,Playbook axiom audit guidance.,supported,docs/axiom_policy.md exists: True; validate_task uses #print axioms: True.,No gap.
metadata_completeness,data,"Task metadata should include family, domain, human-time, skills, scaffold sensitivity, and failure modes.",required_for_release_artifact,Playbook task metadata schema.,supported,26 task metadata rows checked; missing fields sample: [].,No gap.
schemas_present,data,"Task metadata, run results, and failure labels should have schemas.",required_for_release_artifact,User data-schema requirement.,supported,"Schema files present: run=True, failure=True, metadata=True.",No gap.
run_result_semantics,data,run_results should represent successes_out_of_k and pass@k consistently.,required_for_release_artifact,User pass@k semantics requirement.,supported,69 run-result rows checked; semantic errors sample: [].,No gap.
scaffold_support,scaffolds,"The repo should support one-shot, lookup, and lookup plus iterative compile/debug scaffold variants.",required_for_release_artifact,Playbook scaffold ladder.,supported,3 scaffold variants configured; runner exposes lookup command: True; runner preserves requested k attempts: True; scaffold audit rows: 11; scaffold audit failures: 0.,No gap.
lookup_scaffold_no_hidden_leak,integrity,Lookup scaffold must not expose hidden references or wrong submissions.,required_for_release_artifact,Playbook hidden-material non-leak and scaffold lookup requirements.,supported,lookup_roots_public_only=pass; lookup_hidden_leak_scan=pass.,No gap.
evaluation_protocol_plan,runs,A prospective evaluation protocol should define the primary accepted-task scaffold sweep before broad model runs.,required_for_research_report,Report-quality requirement derived from playbook calibration outputs.,supported,"evaluation_protocol.md exists: True; model_sweep_plan rows: 18; planned scaffolds: [""lookup"", ""lookup_unlimited"", ""one-shot""].",No gap.
model_result_analysis,runs,Committed provider rows should be analyzed separately from local QA and against the planned primary sweep.,required_for_research_report,Report-quality requirement for not overstating smoke rows.,supported,model_run_analysis.md exists: True; model_result_summary rows: 10; primary coverage rows: 1.,No gap.
scaffold_result_comparison,scaffolds,"The report should compare real model performance across scaffolds, ideally pass@10.",required_for_locked_benchmark,Playbook scaffold interpretation and calibration outputs.,partial,"Non-infra model rows: 2; scaffolds observed: [""one-shot""]; planned rows: 18.","Run real pass@10 or comparable sweeps across one-shot, lookup, and lookup_unlimited before performance claims."
