task_id,title,split,family,acceptance_status,difficulty_review_status,audit_recommendation,mechanical_reference_proof_lines,mechanical_declaration_count,mechanical_file_count,mechanical_public_lemma_count,mechanical_tactic_profile,mechanical_automation_dominated,mechanical_mathlib_required,mechanical_multifile_context,mechanical_hidden_pin_strength,mechanical_hidden_check_count,mechanical_hidden_example_count,mechanical_wrong_submission_count,manual_time_bucket,manual_human_minutes_p50,manual_human_minutes_p90,manual_frontier_model_one_shot_likelihood,manual_diagnostic_value,manual_scaffold_sensitivity,manual_final_reason,requires_library_search,requires_decomposition,requires_semantic_formalization,requires_proof_debugging,requires_codebase_navigation,requires_invariant_design,requires_long_horizon_construction
lt-001,append correctness for a list sum,dev,algorithm_correctness,calibration_only,manual_review_complete,calibration_only,8,2,1,1,"{""induction"": 1, ""simp"": 2}",true,false,false,semantic,1,4,2,T1,25,45,likely,medium,low_to_medium; lookup helps with arithmetic normalization lemmas,"calibration_only: T1 list induction smoke row; retained to verify harness behavior, not counted as core benchmark difficulty.",false,true,false,false,false,false,false
lt-002,append correctness for a Boolean counter,dev,algorithm_correctness,calibration_only,manual_review_complete,calibration_only,8,2,1,1,"{""cases"": 1, ""induction"": 1, ""simp"": 2}",true,false,false,semantic,1,4,2,T1,20,40,likely,medium,low; compile feedback mainly helps tactic cleanup,calibration_only: T1 Bool/list induction row; useful for lower-bound calibration and wrong-definition pins.,false,true,false,false,false,false,false
lt-003,queue enqueueAll size repair,dev,proof_repair_codebase,calibration_only,manual_review_complete,calibration_only,11,6,1,2,"{""induction"": 1, ""simp"": 3}",true,false,false,semantic,2,4,2,T1,35,60,likely,medium,medium; iterative compile feedback helps repair the generalized induction,calibration_only: small proof-repair shape retained as a codebase-navigation smoke row; too short for core benchmark status.,false,true,false,true,true,false,false
lt-004,formalize prefix as append by a suffix,dev,informal_spec_to_formal,calibration_only,manual_review_complete,calibration_only,5,3,1,2,"{""exact"": 2, ""simp"": 2}",false,false,false,semantic,2,4,2,T1,30,55,likely,medium,medium; hidden pins primarily test semantic interpretation rather than API lookup,calibration_only: compact semantic-formalization row retained to test vacuity and endpoint-only wrong specs.,false,false,true,false,false,false,false
lt-005,capped projection invariant and idempotence,dev,invariant_verification_ml_optimization,rejected_too_easy,audited_rejected,rejected_too_easy,9,3,1,2,"{""omega"": 1, ""simp"": 1, ""split"": 2, ""unfold"": 2}",false,false,false,semantic,2,3,1,T1,25,50,very_likely,low,medium; compile feedback helps with conditional splits and arithmetic obligations,"rejected_too_easy: branch proof is dominated by unfolding, simp, and omega; weak diagnostic signal.",false,false,false,false,false,true,false
lt-201,multi-file cache touchAll proof repair,dev,proof_repair_codebase,accepted_v0,manual_review_complete,accepted_v0,25,9,2,4,"{""cases"": 2, ""induction"": 2, ""simp"": 6}",true,false,true,semantic,4,6,2,T2,75,150,maybe,high,high; compile/debug feedback should help align imports and generalized induction,"accepted_v0_keep_with_caveat: reference proof is automation-dominated, but the task is retained for multi-file navigation, fixed API semantics, and generalized batch repair; needs independent review before any locked benchmark claim.",false,true,false,true,true,false,false
lt-203,formalize exact list coverage modulo multiplicity,dev,informal_spec_to_formal,accepted_v0,manual_review_complete,accepted_v0,30,5,1,4,"{""constructor"": 1, ""exact"": 7, ""intro"": 6, ""rcases"": 2, ""rfl"": 1, ""simp"": 2}",false,false,false,semantic,4,5,2,T2,90,180,maybe,high,"high; lookup helps list membership simplification, pins diagnose semantic mismatch","accepted_v0: spec-to-formal task with hidden pins rejecting vacuous, equality-only, and duplicate-sensitive interpretations.",false,true,true,true,false,false,false
lt-101,tail-recursive reverse preserves length,test,algorithm_correctness,calibration_only,manual_review_complete,calibration_only,11,4,1,2,"{""induction"": 1, ""simp"": 2}",true,false,false,semantic,2,3,2,T1,35,70,likely,medium,medium; lookup and retries help discover generalizing acc and length_append,calibration_only: tail-recursive accumulator proof retained as a T1 calibration row; not core long-horizon material.,false,true,false,false,false,false,false
lt-102,extracting present optional values cannot increase length,test,algorithm_correctness,rejected_too_easy,audited_rejected,rejected_too_easy,8,2,1,1,"{""cases"": 1, ""induction"": 1, ""omega"": 1, ""simp"": 2}",true,false,false,mixed,1,2,1,T1,25,50,very_likely,low,low_to_medium; compile feedback helps identify missing option case,"rejected_too_easy: option/list proof is mostly cases, induction, simp, and omega.",false,true,false,false,false,false,false
lt-103,mirroring a binary tree preserves size,test,algorithm_correctness,rejected_too_easy,audited_rejected,rejected_too_easy,8,4,1,1,"{""induction"": 1, ""simp"": 2}",true,false,false,mixed,1,2,1,T1,40,80,likely,low,medium; lookup helps find arithmetic commutativity/associativity simp pattern,rejected_too_easy: tree-size proof is a short structural induction with arithmetic simplification.,false,true,false,false,false,false,false
