task_id,title,split,acceptance_status,release_role,benchmark_grade_status,family,domain,human_time_bucket,human_minutes_p50,human_minutes_p90,proof_lines,declaration_count,public_file_count,public_lemma_count,automation_dominated,tactic_profile,mathlib_use,multi_file_context,hidden_pin_strength,hidden_check_count,hidden_example_count,wrong_submission_count,frontier_one_shot_likelihood,diagnostic_value,scaffold_sensitivity,requires_library_search,requires_decomposition,requires_semantic_formalization,requires_proof_debugging,requires_codebase_navigation,requires_invariant_design,requires_long_horizon_construction,manual_review_note,next_review_action
lt-001,append correctness for a list sum,dev,calibration_only,calibration_release,calibration_only,algorithm_correctness,list_recursion_arithmetic,T1,25,45,8,2,1,1,true,"{""induction"": 1, ""simp"": 2}",false,false,semantic,1,4,2,likely,medium,low_to_medium; lookup helps with arithmetic normalization lemmas,false,true,false,false,false,false,false,"calibration_only: T1 list induction smoke row; retained to verify harness behavior, not counted as core benchmark difficulty.",Exclude from core performance claims; use only for lower-bound calibration and harness regression checks.
lt-002,append correctness for a Boolean counter,dev,calibration_only,calibration_release,calibration_only,algorithm_correctness,list_recursion_boolean_counter,T1,20,40,8,2,1,1,true,"{""cases"": 1, ""induction"": 1, ""simp"": 2}",false,false,semantic,1,4,2,likely,medium,low; compile feedback mainly helps tactic cleanup,false,true,false,false,false,false,false,calibration_only: T1 Bool/list induction row; useful for lower-bound calibration and wrong-definition pins.,Exclude from core performance claims; use only for lower-bound calibration and harness regression checks.
lt-003,queue enqueueAll size repair,dev,calibration_only,calibration_release,calibration_only,proof_repair_codebase,small_queue_api_change,T1,35,60,11,6,1,2,true,"{""induction"": 1, ""simp"": 3}",false,false,semantic,2,4,2,likely,medium,medium; iterative compile feedback helps repair the generalized induction,false,true,false,true,true,false,false,calibration_only: small proof-repair shape retained as a codebase-navigation smoke row; too short for core benchmark status.,Exclude from core performance claims; use only for lower-bound calibration and harness regression checks.
lt-004,formalize prefix as append by a suffix,dev,calibration_only,calibration_release,calibration_only,informal_spec_to_formal,list_relation_specification,T1,30,55,5,3,1,2,false,"{""exact"": 2, ""simp"": 2}",false,false,semantic,2,4,2,likely,medium,medium; hidden pins primarily test semantic interpretation rather than API lookup,false,false,true,false,false,false,false,calibration_only: compact semantic-formalization row retained to test vacuity and endpoint-only wrong specs.,Exclude from core performance claims; use only for lower-bound calibration and harness regression checks.
lt-005,capped projection invariant and idempotence,dev,rejected_too_easy,rejected_archive,rejected_archive,invariant_verification_ml_optimization,toy_projected_optimizer,T1,25,50,9,3,1,2,false,"{""omega"": 1, ""simp"": 1, ""split"": 2, ""unfold"": 2}",false,false,semantic,2,3,1,very_likely,low,medium; compile feedback helps with conditional splits and arithmetic obligations,false,false,false,false,false,true,false,"rejected_too_easy: branch proof is dominated by unfolding, simp, and omega; weak diagnostic signal.",Keep archived as pruning evidence; exclude because the proof surface is too automation-dominated or local.
lt-201,multi-file cache touchAll proof repair,dev,accepted_v0,accepted_core,accepted_core_with_caveat,proof_repair_codebase,multi_file_cache_api_change,T2,75,150,25,9,2,4,true,"{""cases"": 2, ""induction"": 2, ""simp"": 6}",false,true,semantic,4,6,2,maybe,high,high; compile/debug feedback should help align imports and generalized induction,false,true,false,true,true,false,false,"accepted_v0_keep_with_caveat: reference proof is automation-dominated, but the task is retained for multi-file navigation, fixed API semantics, and generalized batch repair; needs independent review before any locked benchmark claim.","Retain in v0.1 only with the recorded caveat; collect independent human timing, full scaffold sweep evidence, and external QA before freeze."
lt-203,formalize exact list coverage modulo multiplicity,dev,accepted_v0,accepted_core,accepted_core_retained,informal_spec_to_formal,semantic_list_membership_relation,T2,90,180,30,5,1,4,false,"{""constructor"": 1, ""exact"": 7, ""intro"": 6, ""rcases"": 2, ""rfl"": 1, ""simp"": 2}",false,false,semantic,4,5,2,maybe,high,"high; lookup helps list membership simplification, pins diagnose semantic mismatch",false,true,true,true,false,false,false,"accepted_v0: spec-to-formal task with hidden pins rejecting vacuous, equality-only, and duplicate-sensitive interpretations.","Collect independent timing, hosted QA, and accepted-core scaffold/model evidence before benchmark freeze."
lt-101,tail-recursive reverse preserves length,test,calibration_only,calibration_release,calibration_only,algorithm_correctness,tail_recursion_list_reverse,T1,35,70,11,4,1,2,true,"{""induction"": 1, ""simp"": 2}",false,false,semantic,2,3,2,likely,medium,medium; lookup and retries help discover generalizing acc and length_append,false,true,false,false,false,false,false,calibration_only: tail-recursive accumulator proof retained as a T1 calibration row; not core long-horizon material.,Exclude from core performance claims; use only for lower-bound calibration and harness regression checks.
lt-102,extracting present optional values cannot increase length,test,rejected_too_easy,rejected_archive,rejected_archive,algorithm_correctness,option_list_filtering,T1,25,50,8,2,1,1,true,"{""cases"": 1, ""induction"": 1, ""omega"": 1, ""simp"": 2}",false,false,mixed,1,2,1,very_likely,low,low_to_medium; compile feedback helps identify missing option case,false,true,false,false,false,false,false,"rejected_too_easy: option/list proof is mostly cases, induction, simp, and omega.",Keep archived as pruning evidence; exclude because the proof surface is too automation-dominated or local.
lt-103,mirroring a binary tree preserves size,test,rejected_too_easy,rejected_archive,rejected_archive,algorithm_correctness,binary_tree_recursion,T1,40,80,8,4,1,1,true,"{""induction"": 1, ""simp"": 2}",false,false,mixed,1,2,1,likely,low,medium; lookup helps find arithmetic commutativity/associativity simp pattern,false,true,false,false,false,false,false,rejected_too_easy: tree-size proof is a short structural induction with arithmetic simplification.,Keep archived as pruning evidence; exclude because the proof surface is too automation-dominated or local.
lt-104,stack pushAll size proof repair,test,rejected_duplicate,rejected_archive,rejected_archive,proof_repair_codebase,small_stack_api_change,T1,35,65,11,6,1,2,true,"{""induction"": 1, ""simp"": 3}",false,false,mixed,2,2,1,likely,low,medium; compile/debug iterations help expose the missing generalized induction,false,true,false,true,true,false,false,rejected_duplicate: overlaps strongly with lt-003 queue/stack size repair and is similarly short.,Keep archived as pruning evidence; exclude because it duplicates a retained calibration or core capability.
lt-105,counter batched increment proof repair,test,calibration_only,calibration_release,calibration_only,proof_repair_codebase,small_counter_api_change,T1,40,80,11,6,1,2,true,"{""induction"": 1, ""rfl"": 1, ""simp"": 2}",false,false,semantic,2,5,2,likely,medium,medium_to_high; iterative compile/debug helps align recursive equation and sum algebra,false,true,false,true,true,false,false,"calibration_only: same-signature semantic wrongs are useful, but the reference proof is short and automation-dominated; T2/core status was too generous.",Exclude from core performance claims; use only for lower-bound calibration and harness regression checks.
