scaffold,planned_task_count,planned_k,primary_endpoint,provider_route,runner_env_var,credential_policy,full_sweep_command,smoke_command,post_run_commands,required_evidence
lookup,6,10,pass_at_k,command,LEAN_MODEL_RUNNER,External runner owns credentials; keep any provider keys in environment variables only.,python scripts/run_model_sweep.py --provider command --model MODEL --scaffold lookup --attempts 10 --acceptance-status accepted_v0,python scripts/run_model_sweep.py --provider command --model MODEL --scaffold lookup --attempts 1 --task-id lt-201,python scripts/audit_run_integrity.py && python scripts/analyze_model_results.py && python scripts/audit_statistical_reporting.py && python scripts/audit_provider_readiness.py && python scripts/audit_scaffold_support.py && python scripts/audit_requirement_coverage.py --public-export public_tasks && python scripts/audit_claim_evidence.py && python scripts/generate_claim_authorization_matrix.py && python scripts/generate_concise_report.py && python scripts/audit_report_claim_conformance.py && python scripts/audit_report_shape.py && python scripts/generate_release_decision_log.py && python scripts/generate_freeze_readiness_roadmap.py && python scripts/generate_report.py,new run_results rows; transcripts/<job_id>/*.jsonl; zero run_integrity failures; updated model_result_summary; updated statistical/provider/scaffold audits
lookup,6,10,pass_at_k,anthropic,ANTHROPIC_LEAN_RUNNER,Use ANTHROPIC_API_KEY only from the environment; do not commit keys or transcripts containing keys.,python scripts/run_model_sweep.py --provider anthropic --model MODEL --scaffold lookup --attempts 10 --acceptance-status accepted_v0,python scripts/run_model_sweep.py --provider anthropic --model MODEL --scaffold lookup --attempts 1 --task-id lt-201,python scripts/audit_run_integrity.py && python scripts/analyze_model_results.py && python scripts/audit_statistical_reporting.py && python scripts/audit_provider_readiness.py && python scripts/audit_scaffold_support.py && python scripts/audit_requirement_coverage.py --public-export public_tasks && python scripts/audit_claim_evidence.py && python scripts/generate_claim_authorization_matrix.py && python scripts/generate_concise_report.py && python scripts/audit_report_claim_conformance.py && python scripts/audit_report_shape.py && python scripts/generate_release_decision_log.py && python scripts/generate_freeze_readiness_roadmap.py && python scripts/generate_report.py,new run_results rows; transcripts/<job_id>/*.jsonl; zero run_integrity failures; updated model_result_summary; updated statistical/provider/scaffold audits
lookup,6,10,pass_at_k,openai,OPENAI_LEAN_RUNNER,Use OPENAI_API_KEY only from the environment; OpenAI route currently expects an external runner command.,python scripts/run_model_sweep.py --provider openai --model MODEL --scaffold lookup --attempts 10 --acceptance-status accepted_v0,python scripts/run_model_sweep.py --provider openai --model MODEL --scaffold lookup --attempts 1 --task-id lt-201,python scripts/audit_run_integrity.py && python scripts/analyze_model_results.py && python scripts/audit_statistical_reporting.py && python scripts/audit_provider_readiness.py && python scripts/audit_scaffold_support.py && python scripts/audit_requirement_coverage.py --public-export public_tasks && python scripts/audit_claim_evidence.py && python scripts/generate_claim_authorization_matrix.py && python scripts/generate_concise_report.py && python scripts/audit_report_claim_conformance.py && python scripts/audit_report_shape.py && python scripts/generate_release_decision_log.py && python scripts/generate_freeze_readiness_roadmap.py && python scripts/generate_report.py,new run_results rows; transcripts/<job_id>/*.jsonl; zero run_integrity failures; updated model_result_summary; updated statistical/provider/scaffold audits
lookup,6,10,pass_at_k,gemini,GEMINI_LEAN_RUNNER,Use GEMINI_API_KEY only from the environment; Gemini route currently expects an external runner command.,python scripts/run_model_sweep.py --provider gemini --model MODEL --scaffold lookup --attempts 10 --acceptance-status accepted_v0,python scripts/run_model_sweep.py --provider gemini --model MODEL --scaffold lookup --attempts 1 --task-id lt-201,python scripts/audit_run_integrity.py && python scripts/analyze_model_results.py && python scripts/audit_statistical_reporting.py && python scripts/audit_provider_readiness.py && python scripts/audit_scaffold_support.py && python scripts/audit_requirement_coverage.py --public-export public_tasks && python scripts/audit_claim_evidence.py && python scripts/generate_claim_authorization_matrix.py && python scripts/generate_concise_report.py && python scripts/audit_report_claim_conformance.py && python scripts/audit_report_shape.py && python scripts/generate_release_decision_log.py && python scripts/generate_freeze_readiness_roadmap.py && python scripts/generate_report.py,new run_results rows; transcripts/<job_id>/*.jsonl; zero run_integrity failures; updated model_result_summary; updated statistical/provider/scaffold audits
lookup_unlimited,6,10,pass_at_k,command,LEAN_MODEL_RUNNER,External runner owns credentials; keep any provider keys in environment variables only.,python scripts/run_model_sweep.py --provider command --model MODEL --scaffold lookup_unlimited --attempts 10 --acceptance-status accepted_v0,python scripts/run_model_sweep.py --provider command --model MODEL --scaffold lookup_unlimited --attempts 1 --task-id lt-201,python scripts/audit_run_integrity.py && python scripts/analyze_model_results.py && python scripts/audit_statistical_reporting.py && python scripts/audit_provider_readiness.py && python scripts/audit_scaffold_support.py && python scripts/audit_requirement_coverage.py --public-export public_tasks && python scripts/audit_claim_evidence.py && python scripts/generate_claim_authorization_matrix.py && python scripts/generate_concise_report.py && python scripts/audit_report_claim_conformance.py && python scripts/audit_report_shape.py && python scripts/generate_release_decision_log.py && python scripts/generate_freeze_readiness_roadmap.py && python scripts/generate_report.py,new run_results rows; transcripts/<job_id>/*.jsonl; zero run_integrity failures; updated model_result_summary; updated statistical/provider/scaffold audits
lookup_unlimited,6,10,pass_at_k,anthropic,ANTHROPIC_LEAN_RUNNER,Use ANTHROPIC_API_KEY only from the environment; do not commit keys or transcripts containing keys.,python scripts/run_model_sweep.py --provider anthropic --model MODEL --scaffold lookup_unlimited --attempts 10 --acceptance-status accepted_v0,python scripts/run_model_sweep.py --provider anthropic --model MODEL --scaffold lookup_unlimited --attempts 1 --task-id lt-201,python scripts/audit_run_integrity.py && python scripts/analyze_model_results.py && python scripts/audit_statistical_reporting.py && python scripts/audit_provider_readiness.py && python scripts/audit_scaffold_support.py && python scripts/audit_requirement_coverage.py --public-export public_tasks && python scripts/audit_claim_evidence.py && python scripts/generate_claim_authorization_matrix.py && python scripts/generate_concise_report.py && python scripts/audit_report_claim_conformance.py && python scripts/audit_report_shape.py && python scripts/generate_release_decision_log.py && python scripts/generate_freeze_readiness_roadmap.py && python scripts/generate_report.py,new run_results rows; transcripts/<job_id>/*.jsonl; zero run_integrity failures; updated model_result_summary; updated statistical/provider/scaffold audits
lookup_unlimited,6,10,pass_at_k,openai,OPENAI_LEAN_RUNNER,Use OPENAI_API_KEY only from the environment; OpenAI route currently expects an external runner command.,python scripts/run_model_sweep.py --provider openai --model MODEL --scaffold lookup_unlimited --attempts 10 --acceptance-status accepted_v0,python scripts/run_model_sweep.py --provider openai --model MODEL --scaffold lookup_unlimited --attempts 1 --task-id lt-201,python scripts/audit_run_integrity.py && python scripts/analyze_model_results.py && python scripts/audit_statistical_reporting.py && python scripts/audit_provider_readiness.py && python scripts/audit_scaffold_support.py && python scripts/audit_requirement_coverage.py --public-export public_tasks && python scripts/audit_claim_evidence.py && python scripts/generate_claim_authorization_matrix.py && python scripts/generate_concise_report.py && python scripts/audit_report_claim_conformance.py && python scripts/audit_report_shape.py && python scripts/generate_release_decision_log.py && python scripts/generate_freeze_readiness_roadmap.py && python scripts/generate_report.py,new run_results rows; transcripts/<job_id>/*.jsonl; zero run_integrity failures; updated model_result_summary; updated statistical/provider/scaffold audits
lookup_unlimited,6,10,pass_at_k,gemini,GEMINI_LEAN_RUNNER,Use GEMINI_API_KEY only from the environment; Gemini route currently expects an external runner command.,python scripts/run_model_sweep.py --provider gemini --model MODEL --scaffold lookup_unlimited --attempts 10 --acceptance-status accepted_v0,python scripts/run_model_sweep.py --provider gemini --model MODEL --scaffold lookup_unlimited --attempts 1 --task-id lt-201,python scripts/audit_run_integrity.py && python scripts/analyze_model_results.py && python scripts/audit_statistical_reporting.py && python scripts/audit_provider_readiness.py && python scripts/audit_scaffold_support.py && python scripts/audit_requirement_coverage.py --public-export public_tasks && python scripts/audit_claim_evidence.py && python scripts/generate_claim_authorization_matrix.py && python scripts/generate_concise_report.py && python scripts/audit_report_claim_conformance.py && python scripts/audit_report_shape.py && python scripts/generate_release_decision_log.py && python scripts/generate_freeze_readiness_roadmap.py && python scripts/generate_report.py,new run_results rows; transcripts/<job_id>/*.jsonl; zero run_integrity failures; updated model_result_summary; updated statistical/provider/scaffold audits
one-shot,6,10,pass_at_k,command,LEAN_MODEL_RUNNER,External runner owns credentials; keep any provider keys in environment variables only.,python scripts/run_model_sweep.py --provider command --model MODEL --scaffold one-shot --attempts 10 --acceptance-status accepted_v0,python scripts/run_model_sweep.py --provider command --model MODEL --scaffold one-shot --attempts 1 --task-id lt-201,python scripts/audit_run_integrity.py && python scripts/analyze_model_results.py && python scripts/audit_statistical_reporting.py && python scripts/audit_provider_readiness.py && python scripts/audit_scaffold_support.py && python scripts/audit_requirement_coverage.py --public-export public_tasks && python scripts/audit_claim_evidence.py && python scripts/generate_claim_authorization_matrix.py && python scripts/generate_concise_report.py && python scripts/audit_report_claim_conformance.py && python scripts/audit_report_shape.py && python scripts/generate_release_decision_log.py && python scripts/generate_freeze_readiness_roadmap.py && python scripts/generate_report.py,new run_results rows; transcripts/<job_id>/*.jsonl; zero run_integrity failures; updated model_result_summary; updated statistical/provider/scaffold audits
one-shot,6,10,pass_at_k,anthropic,ANTHROPIC_LEAN_RUNNER,Use ANTHROPIC_API_KEY only from the environment; do not commit keys or transcripts containing keys.,python scripts/run_model_sweep.py --provider anthropic --model MODEL --scaffold one-shot --attempts 10 --acceptance-status accepted_v0,python scripts/run_model_sweep.py --provider anthropic --model MODEL --scaffold one-shot --attempts 1 --task-id lt-201,python scripts/audit_run_integrity.py && python scripts/analyze_model_results.py && python scripts/audit_statistical_reporting.py && python scripts/audit_provider_readiness.py && python scripts/audit_scaffold_support.py && python scripts/audit_requirement_coverage.py --public-export public_tasks && python scripts/audit_claim_evidence.py && python scripts/generate_claim_authorization_matrix.py && python scripts/generate_concise_report.py && python scripts/audit_report_claim_conformance.py && python scripts/audit_report_shape.py && python scripts/generate_release_decision_log.py && python scripts/generate_freeze_readiness_roadmap.py && python scripts/generate_report.py,new run_results rows; transcripts/<job_id>/*.jsonl; zero run_integrity failures; updated model_result_summary; updated statistical/provider/scaffold audits
one-shot,6,10,pass_at_k,openai,OPENAI_LEAN_RUNNER,Use OPENAI_API_KEY only from the environment; OpenAI route currently expects an external runner command.,python scripts/run_model_sweep.py --provider openai --model MODEL --scaffold one-shot --attempts 10 --acceptance-status accepted_v0,python scripts/run_model_sweep.py --provider openai --model MODEL --scaffold one-shot --attempts 1 --task-id lt-201,python scripts/audit_run_integrity.py && python scripts/analyze_model_results.py && python scripts/audit_statistical_reporting.py && python scripts/audit_provider_readiness.py && python scripts/audit_scaffold_support.py && python scripts/audit_requirement_coverage.py --public-export public_tasks && python scripts/audit_claim_evidence.py && python scripts/generate_claim_authorization_matrix.py && python scripts/generate_concise_report.py && python scripts/audit_report_claim_conformance.py && python scripts/audit_report_shape.py && python scripts/generate_release_decision_log.py && python scripts/generate_freeze_readiness_roadmap.py && python scripts/generate_report.py,new run_results rows; transcripts/<job_id>/*.jsonl; zero run_integrity failures; updated model_result_summary; updated statistical/provider/scaffold audits
