task_id,split,family,human_time_bucket,scaffold,planned_k,analysis_set,primary_endpoint,sweep_command
lt-201,dev,proof_repair_codebase,T2,one-shot,10,primary_accepted_v0,pass_at_k,python scripts/run_model_sweep.py --provider command --model MODEL --scaffold one-shot --attempts 10 --acceptance-status accepted_v0
lt-201,dev,proof_repair_codebase,T2,lookup,10,primary_accepted_v0,pass_at_k,python scripts/run_model_sweep.py --provider command --model MODEL --scaffold lookup --attempts 10 --acceptance-status accepted_v0
lt-201,dev,proof_repair_codebase,T2,lookup_unlimited,10,primary_accepted_v0,pass_at_k,python scripts/run_model_sweep.py --provider command --model MODEL --scaffold lookup_unlimited --attempts 10 --acceptance-status accepted_v0
lt-203,dev,informal_spec_to_formal,T2,one-shot,10,primary_accepted_v0,pass_at_k,python scripts/run_model_sweep.py --provider command --model MODEL --scaffold one-shot --attempts 10 --acceptance-status accepted_v0
lt-203,dev,informal_spec_to_formal,T2,lookup,10,primary_accepted_v0,pass_at_k,python scripts/run_model_sweep.py --provider command --model MODEL --scaffold lookup --attempts 10 --acceptance-status accepted_v0
lt-203,dev,informal_spec_to_formal,T2,lookup_unlimited,10,primary_accepted_v0,pass_at_k,python scripts/run_model_sweep.py --provider command --model MODEL --scaffold lookup_unlimited --attempts 10 --acceptance-status accepted_v0
lt-202,test,direct_theorem_proving,T2,one-shot,10,primary_accepted_v0,pass_at_k,python scripts/run_model_sweep.py --provider command --model MODEL --scaffold one-shot --attempts 10 --acceptance-status accepted_v0
lt-202,test,direct_theorem_proving,T2,lookup,10,primary_accepted_v0,pass_at_k,python scripts/run_model_sweep.py --provider command --model MODEL --scaffold lookup --attempts 10 --acceptance-status accepted_v0
lt-202,test,direct_theorem_proving,T2,lookup_unlimited,10,primary_accepted_v0,pass_at_k,python scripts/run_model_sweep.py --provider command --model MODEL --scaffold lookup_unlimited --attempts 10 --acceptance-status accepted_v0
lt-204,test,invariant_verification_ml_optimization,T2,one-shot,10,primary_accepted_v0,pass_at_k,python scripts/run_model_sweep.py --provider command --model MODEL --scaffold one-shot --attempts 10 --acceptance-status accepted_v0
lt-204,test,invariant_verification_ml_optimization,T2,lookup,10,primary_accepted_v0,pass_at_k,python scripts/run_model_sweep.py --provider command --model MODEL --scaffold lookup --attempts 10 --acceptance-status accepted_v0
lt-204,test,invariant_verification_ml_optimization,T2,lookup_unlimited,10,primary_accepted_v0,pass_at_k,python scripts/run_model_sweep.py --provider command --model MODEL --scaffold lookup_unlimited --attempts 10 --acceptance-status accepted_v0
lt-205,test,small_formal_library_construction,T3,one-shot,10,primary_accepted_v0,pass_at_k,python scripts/run_model_sweep.py --provider command --model MODEL --scaffold one-shot --attempts 10 --acceptance-status accepted_v0
lt-205,test,small_formal_library_construction,T3,lookup,10,primary_accepted_v0,pass_at_k,python scripts/run_model_sweep.py --provider command --model MODEL --scaffold lookup --attempts 10 --acceptance-status accepted_v0
lt-205,test,small_formal_library_construction,T3,lookup_unlimited,10,primary_accepted_v0,pass_at_k,python scripts/run_model_sweep.py --provider command --model MODEL --scaffold lookup_unlimited --attempts 10 --acceptance-status accepted_v0
lt-206,test,algorithm_correctness,T2,one-shot,10,primary_accepted_v0,pass_at_k,python scripts/run_model_sweep.py --provider command --model MODEL --scaffold one-shot --attempts 10 --acceptance-status accepted_v0
lt-206,test,algorithm_correctness,T2,lookup,10,primary_accepted_v0,pass_at_k,python scripts/run_model_sweep.py --provider command --model MODEL --scaffold lookup --attempts 10 --acceptance-status accepted_v0
lt-206,test,algorithm_correctness,T2,lookup_unlimited,10,primary_accepted_v0,pass_at_k,python scripts/run_model_sweep.py --provider command --model MODEL --scaffold lookup_unlimited --attempts 10 --acceptance-status accepted_v0
