evidence_id,claim_area,current_evidence_grade,grade_rank,adequate_for_current_wording,current_wording_allowed,unsupported_stronger_wording,evidence_summary,missing_upgrade_evidence,source_artifacts
local_artifact_validation,artifact_validity,local_mechanical_validation,3,true,Local v0.1 artifact validity with caveats.,"Locked, hosted-QA-cleared, or final benchmark status.",`local_artifact_validity`=allowed_with_caveat; `public_prompts_scaffolds`=supported: Release assets: 14/14 prompts; 14/14 public-file sets.; `hidden_references_pins`=supported: Release hidden assets: 14/14 references; 14/14 PinCheck files.; `automatic_lean_scoring`=supported: validate_task.py exists: True; validation command rows: 68.; validation_manifest_failures=0; security_failures=0,"Hosted QA, problem-version mapping, independent review, full pass@k sweeps, and accepted-task scale.",reports/validation_manifest_audit.md;reports/requirement_coverage.md;reports/security_leakage_audit.md;reports/clean_workspace_replay.md
accepted_task_quality,task_validity,local_manual_review,4,true,Internally reviewed six-task accepted core with explicit caveats.,"Benchmark-grade, representative, independently reviewed accepted set.",accepted_tasks=6; independent_review_rows=0; `accepted_core_quality`=allowed_with_caveat; `accepted_task_cards`=supported: accepted task cards: 6; accepted rows: 6; missing ids: 0; extra ids: 0; blocker rows: 6; report exists: True.; `independent_task_quality_review`=not_met: Accepted tasks with completed independent task reviews: 0/6; review rows: 0; status-audit rows: 5.,"Completed non-author reviews, more accepted T2/T3/T4 tasks, and refreshed task-quality review.",reports/accepted_task_review.md;reports/accepted_task_cards.md;reports/independent_review_status_audit.md;reports/candidate_pruning_audit.md
human_time_calibration,calibration,author_estimate_or_plan,1,true,Author/reviewer p50 and p90 estimates with missing independent timing stated as a limitation.,Calibrated time-horizon scaling or independently timed bucket trends.,human_timing_rows=0; `time_horizon_scope`=allowed_with_caveat; `human_time_calibration_audit`=supported: human-time audit rows: 26; metadata rows: 26; failures: 0; accepted without independent timing: 6/6; observation rows: 0; report exists: True.; `independent_human_time_review`=partial: Accepted tasks with manual_review_complete: 6/6; accepted tasks with successful independent timing observations: 0/6; observation rows: 0.,"Independent timed solves for every accepted task, with extra scrutiny for T3/T4 rows.",reports/human_time_calibration_audit.md;reports/human_timing_collection_packet.md;data/human_time_observations.csv
grader_semantic_validity,grading_validity,local_mechanical_validation,3,true,"Lean scoring, forbidden-construct scanning, axiom auditing, and finite hidden-pin probes.",Full semantic equivalence or complete resistance to all weakened formalizations.,`hidden_pin_and_grader_strength`=allowed_with_caveat; `pin_coverage_audit`=supported: pin_coverage rows: 26; accepted rows: 6; accepted hidden-pin wrong failures: 7; mutable accepted rows with hidden-pin failures: 4/4; proof-only fixed-statement rows: 2; report exists: True.; `grader_hardening_audit`=supported: grader hardening rows: 9; required checks covered: 9/9; failures: 0; report exists: True.; `axiom_audit_policy`=supported: docs/axiom_policy.md exists: True; validate_task uses #print axioms: True.,"Independent pin review, stronger future same-signature hidden-pin controls where feasible, and hosted isolation evidence.",reports/grader_hardening_audit.md;reports/pin_coverage_audit.md;docs/axiom_policy.md;scripts/validate_task.py
run_data_integrity,data_validity,local_mechanical_validation,3,true,"Run rows have schema, transcript, pass@k arithmetic, infra, and local-QA separation checks.","Representative model-performance estimates, scaffold effects, or failure distributions.",run_rows=71; nonlocal_rows=3; noninfra_rows=2; `run_data_integrity`=allowed; `run_integrity_audit`=supported: run_integrity rows: 71; run_results rows: 71; failing rows: 0; report exists: True.; `run_result_semantics`=supported: 71 run-result rows checked; semantic errors sample: [].,"Broader non-infra provider rows at the planned k, plus transcript review for failed provider rows.",data/run_results.csv;reports/run_integrity_audit.md;reports/passk_claim_boundary_audit.md;reports/model_evidence_provenance_audit.md
model_performance_evidence,performance_claim,provider_smoke,5,true,"Provider smoke provenance only, with performance claims blocked.","Frontier capability estimates, model rankings, pass@10 means, or family/bucket performance claims.","nonlocal_rows=3; noninfra_rows=2; coverage_statuses={""missing"": 17, ""smoke_only"": 1}; `frontier_model_performance`=blocked; `frontier_model_evidence`=partial: Non-infra model rows: 2 over 6 accepted tasks; total model rows including infra failures: 3.","Exact-k non-infra rows for the planned accepted_v0 x scaffold cells, with model versions and transcripts.",reports/model_run_analysis.md;reports/model_sweep_coverage_audit.md;reports/model_evidence_provenance_audit.md;data/run_results.csv
scaffold_comparison_evidence,scaffold_effects,author_estimate_or_plan,1,true,Prospective scaffold ladder and coverage ledger only.,"Lookup benefit, iterative-debug benefit, or paired scaffold-effect estimates.","planned_cells=18; coverage_statuses={""missing"": 17, ""smoke_only"": 1}; `scaffold_effects`=blocked; `scaffold_result_comparison`=partial: Non-infra model rows: 2; smoke scaffolds observed: [""one-shot""]; pass@k-ready cells: 0/18; pass@k-ready scaffolds: []; coverage statuses: {""missing"": 17, ""smoke_only"": 1}.; analysis_decision_statuses={""blocked_by_hosted_qa"": 1, ""blocked_by_missing_timing"": 1, ""blocked_by_small_groups"": 1, ""blocked_by_undercoverage"": 3, ""planned_not_empirical"": 1, ""ready_for_future_rows"": 3, ""ready_with_small_n_caveat"": 1, ""workflow_ready_data_blocked"": 1}","Complete paired exact-k rows for the same tasks, model versions, and scaffolds.",reports/evaluation_protocol.md;reports/analysis_decision_register.md;reports/model_sweep_coverage_audit.md;reports/scaffold_support_audit.md
failure_taxonomy_evidence,failure_analysis,local_generated_audit,2,true,"Failure taxonomy, transcript queue, and smoke adjudication workflow are present.",Dominant failure modes or distributional taxonomy claims.,`failure_taxonomy_results`=allowed_with_caveat; `transcript_review_packet`=supported: queue rows: 3; non-local run ids covered: 3/3; template rows: 3; missing transcripts in queue: 0; prefilled template labels: 0; report exists: True.; `failure_label_review_audit`=supported: review rows: 3; queue rows covered: 3/3; audit checks: 6; required checks covered: 6/6; failures: 0; report exists: True.,Broad provider failures with independent transcript review and enough rows for distributions.,reports/transcript_review_packet.md;reports/failure_label_review_audit.md;data/failure_label_reviews.csv
statistical_reporting_evidence,statistical_validity,local_generated_audit,2,true,"Preregistered statistical thresholds, Wilson precision planning, and blocked performance plots.","Published performance intervals, pass@10-by-scaffold plots, or subgroup performance means.","`statistical_performance_reporting`=blocked; `statistical_analysis_plan`=supported: statistical tiers: 7; required tiers covered: 7/7; blocked tiers: 6; supported tiers: 1; precision rows: 18; precision n values: [""1"", ""18"", ""20"", ""30"", ""50"", ""6""]; report exists: True.; `statistical_reporting_audit`=supported: statistical audit rows: 9; required checks covered: 9/9; failures: 0; blocked performance outputs: 5; report exists: True.; `figure_manifest_audit`=supported: figure rows: 10; required plots covered: 10/10; generated rows: 5; blocked performance rows: 5; problem rows: 0; report exists: True.",Sufficient accepted-task scale and exact-k provider coverage for each plotted comparison.,reports/statistical_analysis_plan.md;reports/statistical_reporting_audit.md;reports/figure_manifest.md
hosted_operational_evidence,operational_validity,local_generated_audit,2,true,Taiga packaging scaffold and local wrapper-isolation checks only.,"Hosted-QA-cleared, Env-Linter-cleared, or exact hosted problem-version claims.","hosted_statuses={""block"": 6, ""caution"": 3, ""pass"": 3}; `hosted_qa_status`=blocked; `hosted_qa_env_linter`=not_met: Hosted QA artifacts present: 0/2; hosted readiness report exists: True; blocked hosted-readiness checks: 6.","Hosted problem-version rows, Full Env QA, Env Linter findings, dispositions, and immutable image digests.",reports/hosted_qa_readiness_audit.md;reports/taiga_wrapper_isolation_audit.md;taiga/problems_metadata.template.json
