check_id,playbook_item,status,evidence,source_artifacts,limitation,next_action
final_versions_have_pass_at_k,all exact final problem versions have pass@10 or the agreed pass@k,block,planned_primary_cells=18; covered_noninfra_cells=1; noninfra_provider_rows=2; nonlocal_rows=3,data/model_sweep_plan.csv;data/model_result_summary.csv;data/run_results.csv,"The plan specifies pass@10 cells, but committed provider rows do not cover the accepted task/scaffold plan.",Run the planned accepted-core pass@10 sweep on exact final problem versions and commit transcripts/results.
scaffolds_use_same_task_set,every scaffold uses the same task set unless explicitly documented,caution,"planned_scaffolds=[""lookup"", ""lookup_unlimited"", ""one-shot""]; planned_same_accepted_set=True; observed_noninfra_scaffolds=[""one-shot""]",data/model_sweep_plan.csv;data/run_results.csv,"The planned sweep uses the same accepted task set, but observed committed provider evidence has not yet covered the scaffold ladder.","Keep the same accepted task IDs across one-shot, lookup, and lookup_unlimited runs; document any exclusion before running."
env_linter_findings_resolved,no unresolved warning/error/critical Env Linter findings,block,"env_linter_status=block; hosted_status_counts={""block"": 6, ""caution"": 3, ""pass"": 3}",data/hosted_qa_readiness_audit.csv;reports/hosted_qa_readiness_audit.md,"No Env Linter result rows are committed, so absence of unresolved findings is unproven.",Run Env Linter on exact hosted problem versions and record each warning/error/critical finding disposition.
full_env_qa_10_attempts,final QA used Full Env QA on 10 attempts,block,full_env_status=block; evidence=transcript_health_or_full_env_rows=0,data/hosted_qa_readiness_audit.csv;reports/hosted_qa_readiness_audit.md,No Full Env QA result rows on final exact problem versions are committed.,Run Full Env QA on 10 attempts after hosted smoke stability and commit result IDs/findings.
late_qa_findings_settled,late QA findings have settled,block,qa_resolution_status=block; evidence=hosted_result_rows=0; unresolved_warning_or_higher=0,data/hosted_qa_readiness_audit.csv;reports/hosted_qa_readiness_audit.md,There are no hosted QA rows or late-finding timestamps to prove the 30-45 minute settling window has elapsed.,Record hosted QA completion times and final finding dispositions after the settling window.
repo_matches_uploaded_environment,repo source matches the uploaded environment,block,problem_version_status=block; freeze_mapping_status=block,data/hosted_qa_readiness_audit.csv;taiga/problems_metadata.template.json;reports/validation_manifest.json,"The local Taiga package scaffold exists, but no immutable uploaded image digest or hosted problem-version mapping is committed.","Commit image digest, environment/problem-version IDs, and snapshot/tag mapping for the exact uploaded package."
plots_regenerate_from_committed_csv,plots regenerate from committed CSV files,pass,"generated_figures=5; generated_figures_ok=True; figure_status_counts={""blocked_by_evidence"": 5, ""generated_descriptive"": 4, ""generated_provenance"": 1}; report_count_failures=0",data/figure_manifest.csv;reports/figure_manifest.md;data/report_count_consistency_audit.csv;reports/figures,Generated descriptive/provenance plots are covered; blocked performance plots intentionally remain absent.,Keep performance plots blocked until provider/scaffold coverage satisfies the statistical plan.
report_states_sample_sizes_and_model_versions,report text states sample sizes and model versions,pass,provider_versions_phrase=True; sample_sizes_phrase=True; report_count_ok=True; claim_conformance_ok=True,reports/metr_style_report.md;reports/model_evidence_provenance_audit.md;data/report_count_consistency_audit.csv;data/report_claim_conformance_audit.csv,"The report states sample sizes and model versions for smoke rows, but performance conclusions remain blocked by undercoverage.","After broad sweeps, regenerate model provenance, count consistency, and claim-conformance audits before interpreting pass rates."
dev_test_split_marked,dev/test split is clearly marked,pass,"release_split_counts={""dev"": 6, ""test"": 8}; release_task_count=14",data/task_metadata.csv;public_tasks,"Split labels are local metadata/export evidence, not evidence of hosted problem-version mapping.",Preserve split labels in metadata and hosted problem metadata when uploading exact versions.
hidden_references_not_public_runtime_assets,hidden references are not in public runtime assets,caution,"public_export={""exists"": true, ""hidden_or_wrong_path_count"": 0, ""task_count"": 14}; validation_manifest_exists=True; hidden_asset_rows=52; hidden_assets_with_public_export_path=0; taiga_wrapper_isolation_ok=True",public_tasks;data/task_asset_manifest.csv;reports/validation_manifest.json;data/taiga_wrapper_isolation_audit.csv,"Local public export and wrapper mitigation pass, but hosted filesystem-tool isolation on uploaded images is still unproven.","Run hosted preflight/Env Linter and record proof that tools cannot read hidden references, hidden pins, wrong submissions, or transient bundles."
