task_id,title,split,family,domain,acceptance_status,pruning_decision,counts_toward_accepted_core,public_export_role,human_time_bucket,human_minutes_p50,human_minutes_p90,proof_lines,tactic_profile,automation_dominated,hidden_pin_strength,wrong_submission_count,frontier_one_shot_likelihood,diagnostic_value,decision_flags,decision_basis,core_exclusion_reason,retained_role,next_action
lt-001,append correctness for a list sum,dev,algorithm_correctness,list_recursion_arithmetic,calibration_only,retained_calibration_only,false,included_in_public_release_export,T1,25,45,8,"{""induction"": 1, ""simp"": 2}",true,semantic,2,likely,medium,lower_time_bucket;automation_dominated;likely_frontier_one_shot;calibration_role,"calibration_only: T1 list induction smoke row; retained to verify harness behavior, not counted as core benchmark difficulty.","Excluded from accepted-core performance claims and retained only for lower-bound calibration, harness regression, or simple semantic-pin checks.",release calibration and harness regression evidence,Exclude from core performance claims; use only for lower-bound calibration and harness regression checks.
lt-002,append correctness for a Boolean counter,dev,algorithm_correctness,list_recursion_boolean_counter,calibration_only,retained_calibration_only,false,included_in_public_release_export,T1,20,40,8,"{""cases"": 1, ""induction"": 1, ""simp"": 2}",true,semantic,2,likely,medium,lower_time_bucket;automation_dominated;likely_frontier_one_shot;calibration_role,calibration_only: T1 Bool/list induction row; useful for lower-bound calibration and wrong-definition pins.,"Excluded from accepted-core performance claims and retained only for lower-bound calibration, harness regression, or simple semantic-pin checks.",release calibration and harness regression evidence,Exclude from core performance claims; use only for lower-bound calibration and harness regression checks.
lt-003,queue enqueueAll size repair,dev,proof_repair_codebase,small_queue_api_change,calibration_only,retained_calibration_only,false,included_in_public_release_export,T1,35,60,11,"{""induction"": 1, ""simp"": 3}",true,semantic,2,likely,medium,lower_time_bucket;automation_dominated;likely_frontier_one_shot;calibration_role,calibration_only: small proof-repair shape retained as a codebase-navigation smoke row; too short for core benchmark status.,"Excluded from accepted-core performance claims and retained only for lower-bound calibration, harness regression, or simple semantic-pin checks.",release calibration and harness regression evidence,Exclude from core performance claims; use only for lower-bound calibration and harness regression checks.
lt-004,formalize prefix as append by a suffix,dev,informal_spec_to_formal,list_relation_specification,calibration_only,retained_calibration_only,false,included_in_public_release_export,T1,30,55,5,"{""exact"": 2, ""simp"": 2}",false,semantic,2,likely,medium,lower_time_bucket;likely_frontier_one_shot;calibration_role,calibration_only: compact semantic-formalization row retained to test vacuity and endpoint-only wrong specs.,"Excluded from accepted-core performance claims and retained only for lower-bound calibration, harness regression, or simple semantic-pin checks.",release calibration and harness regression evidence,Exclude from core performance claims; use only for lower-bound calibration and harness regression checks.
lt-005,capped projection invariant and idempotence,dev,invariant_verification_ml_optimization,toy_projected_optimizer,rejected_too_easy,rejected_archive,false,retained_in_repo_not_exported,T1,25,50,9,"{""omega"": 1, ""simp"": 1, ""split"": 2, ""unfold"": 2}",false,semantic,1,very_likely,low,lower_time_bucket;likely_frontier_one_shot;too_easy_role,"rejected_too_easy: branch proof is dominated by unfolding, simp, and omega; weak diagnostic signal.","Excluded from release/core claims because the proof surface is too short, too local, automation dominated, or likely one-shot solvable.",pruning evidence retained in repo archive only,Keep archived as pruning evidence; exclude because the proof surface is too automation-dominated or local.
lt-201,multi-file cache touchAll proof repair,dev,proof_repair_codebase,multi_file_cache_api_change,accepted_v0,accepted_core,true,included_in_public_release_export,T2,75,150,25,"{""cases"": 2, ""induction"": 2, ""simp"": 6}",true,semantic,2,maybe,high,automation_dominated;accepted_with_caveat;accepted_core,"accepted_v0_keep_with_caveat: reference proof is automation-dominated, but the task is retained for multi-file navigation, fixed API semantics, and generalized batch repair; needs independent review before any locked benchmark claim.","Counts toward accepted-core v0.1 task set, with any caveat recorded in the review note.",accepted-core local task/grader validity evidence,"Retain in v0.1 only with the recorded caveat; collect independent human timing, full scaffold sweep evidence, and external QA before freeze."
lt-203,formalize exact list coverage modulo multiplicity,dev,informal_spec_to_formal,semantic_list_membership_relation,accepted_v0,accepted_core,true,included_in_public_release_export,T2,90,180,30,"{""constructor"": 1, ""exact"": 7, ""intro"": 6, ""rcases"": 2, ""rfl"": 1, ""simp"": 2}",false,semantic,2,maybe,high,accepted_core,"accepted_v0: spec-to-formal task with hidden pins rejecting vacuous, equality-only, and duplicate-sensitive interpretations.","Counts toward accepted-core v0.1 task set, with any caveat recorded in the review note.",accepted-core local task/grader validity evidence,"Collect independent timing, hosted QA, and accepted-core scaffold/model evidence before benchmark freeze."
lt-101,tail-recursive reverse preserves length,test,algorithm_correctness,tail_recursion_list_reverse,calibration_only,retained_calibration_only,false,included_in_public_release_export,T1,35,70,11,"{""induction"": 1, ""simp"": 2}",true,semantic,2,likely,medium,lower_time_bucket;automation_dominated;likely_frontier_one_shot;calibration_role,calibration_only: tail-recursive accumulator proof retained as a T1 calibration row; not core long-horizon material.,"Excluded from accepted-core performance claims and retained only for lower-bound calibration, harness regression, or simple semantic-pin checks.",release calibration and harness regression evidence,Exclude from core performance claims; use only for lower-bound calibration and harness regression checks.
lt-102,extracting present optional values cannot increase length,test,algorithm_correctness,option_list_filtering,rejected_too_easy,rejected_archive,false,retained_in_repo_not_exported,T1,25,50,8,"{""cases"": 1, ""induction"": 1, ""omega"": 1, ""simp"": 2}",true,mixed,1,very_likely,low,lower_time_bucket;automation_dominated;likely_frontier_one_shot;too_easy_role,"rejected_too_easy: option/list proof is mostly cases, induction, simp, and omega.","Excluded from release/core claims because the proof surface is too short, too local, automation dominated, or likely one-shot solvable.",pruning evidence retained in repo archive only,Keep archived as pruning evidence; exclude because the proof surface is too automation-dominated or local.
lt-103,mirroring a binary tree preserves size,test,algorithm_correctness,binary_tree_recursion,rejected_too_easy,rejected_archive,false,retained_in_repo_not_exported,T1,40,80,8,"{""induction"": 1, ""simp"": 2}",true,mixed,1,likely,low,lower_time_bucket;automation_dominated;likely_frontier_one_shot;too_easy_role,rejected_too_easy: tree-size proof is a short structural induction with arithmetic simplification.,"Excluded from release/core claims because the proof surface is too short, too local, automation dominated, or likely one-shot solvable.",pruning evidence retained in repo archive only,Keep archived as pruning evidence; exclude because the proof surface is too automation-dominated or local.
