task_id,split,acceptance_status,family,human_time_bucket,human_minutes_p50,human_minutes_p90,bucket_range_minutes,p50_bucket_consistent,p90_at_or_above_p50,estimate_confidence_level,manual_review_complete,independent_observation_count,successful_independent_observation_count,observed_minutes_summary,calibration_status,issues,notes
lt-001,dev,calibration_only,algorithm_correctness,T1,25,45,15-45,true,true,medium,true,0,0,,pass,[],p50 is checked against the bucket range; p90 is allowed to exceed the bucket because it represents tail effort. Independent timing is required before freeze.
lt-002,dev,calibration_only,algorithm_correctness,T1,20,40,15-45,true,true,medium,true,0,0,,pass,[],p50 is checked against the bucket range; p90 is allowed to exceed the bucket because it represents tail effort. Independent timing is required before freeze.
lt-003,dev,calibration_only,proof_repair_codebase,T1,35,60,15-45,true,true,medium,true,0,0,,pass,[],p50 is checked against the bucket range; p90 is allowed to exceed the bucket because it represents tail effort. Independent timing is required before freeze.
lt-004,dev,calibration_only,informal_spec_to_formal,T1,30,55,15-45,true,true,medium,true,0,0,,pass,[],p50 is checked against the bucket range; p90 is allowed to exceed the bucket because it represents tail effort. Independent timing is required before freeze.
lt-005,dev,rejected_too_easy,invariant_verification_ml_optimization,T1,25,50,15-45,true,true,medium,false,0,0,,pass,[],p50 is checked against the bucket range; p90 is allowed to exceed the bucket because it represents tail effort. Independent timing is required before freeze.
lt-201,dev,accepted_v0,proof_repair_codebase,T2,75,150,45-120,true,true,medium,true,0,0,,caution,"[""accepted_without_independent_timing""]",p50 is checked against the bucket range; p90 is allowed to exceed the bucket because it represents tail effort. Independent timing is required before freeze.
lt-203,dev,accepted_v0,informal_spec_to_formal,T2,90,180,45-120,true,true,medium,true,0,0,,caution,"[""accepted_without_independent_timing""]",p50 is checked against the bucket range; p90 is allowed to exceed the bucket because it represents tail effort. Independent timing is required before freeze.
lt-101,test,calibration_only,algorithm_correctness,T1,35,70,15-45,true,true,medium,true,0,0,,pass,[],p50 is checked against the bucket range; p90 is allowed to exceed the bucket because it represents tail effort. Independent timing is required before freeze.
lt-102,test,rejected_too_easy,algorithm_correctness,T1,25,50,15-45,true,true,medium,false,0,0,,pass,[],p50 is checked against the bucket range; p90 is allowed to exceed the bucket because it represents tail effort. Independent timing is required before freeze.
lt-103,test,rejected_too_easy,algorithm_correctness,T1,40,80,15-45,true,true,medium,false,0,0,,pass,[],p50 is checked against the bucket range; p90 is allowed to exceed the bucket because it represents tail effort. Independent timing is required before freeze.
lt-104,test,rejected_duplicate,proof_repair_codebase,T1,35,65,15-45,true,true,medium,false,0,0,,pass,[],p50 is checked against the bucket range; p90 is allowed to exceed the bucket because it represents tail effort. Independent timing is required before freeze.
lt-105,test,calibration_only,proof_repair_codebase,T1,40,80,15-45,true,true,medium,true,0,0,,pass,[],p50 is checked against the bucket range; p90 is allowed to exceed the bucket because it represents tail effort. Independent timing is required before freeze.
lt-106,test,rejected_duplicate,informal_spec_to_formal,T1,30,60,15-45,true,true,medium,false,0,0,,pass,[],p50 is checked against the bucket range; p90 is allowed to exceed the bucket because it represents tail effort. Independent timing is required before freeze.
lt-107,test,calibration_only,informal_spec_to_formal,T1,35,70,15-45,true,true,medium,true,0,0,,pass,[],p50 is checked against the bucket range; p90 is allowed to exceed the bucket because it represents tail effort. Independent timing is required before freeze.
lt-108,test,calibration_only,informal_spec_to_formal,T1,40,80,15-45,true,true,medium,true,0,0,,pass,[],p50 is checked against the bucket range; p90 is allowed to exceed the bucket because it represents tail effort. Independent timing is required before freeze.
lt-109,test,rejected_too_easy,invariant_verification_ml_optimization,T1,30,60,15-45,true,true,medium,false,0,0,,pass,[],p50 is checked against the bucket range; p90 is allowed to exceed the bucket because it represents tail effort. Independent timing is required before freeze.
lt-110,test,rejected_too_easy,invariant_verification_ml_optimization,T1,25,50,15-45,true,true,medium,false,0,0,,pass,[],p50 is checked against the bucket range; p90 is allowed to exceed the bucket because it represents tail effort. Independent timing is required before freeze.
lt-111,test,rejected_too_easy,invariant_verification_ml_optimization,T2,75,150,45-120,true,true,medium,false,0,0,,pass,[],p50 is checked against the bucket range; p90 is allowed to exceed the bucket because it represents tail effort. Independent timing is required before freeze.
lt-112,test,rejected_too_easy,small_formal_library_construction,T1,35,70,15-45,true,true,medium,false,0,0,,pass,[],p50 is checked against the bucket range; p90 is allowed to exceed the bucket because it represents tail effort. Independent timing is required before freeze.
lt-113,test,rejected_too_easy,small_formal_library_construction,T2,55,110,45-120,true,true,medium,false,0,0,,pass,[],p50 is checked against the bucket range; p90 is allowed to exceed the bucket because it represents tail effort. Independent timing is required before freeze.
lt-114,test,rejected_too_easy,small_formal_library_construction,T1,25,45,15-45,true,true,medium,false,0,0,,pass,[],p50 is checked against the bucket range; p90 is allowed to exceed the bucket because it represents tail effort. Independent timing is required before freeze.
lt-115,test,rejected_too_easy,direct_theorem_proving,T1,20,45,15-45,true,true,medium,false,0,0,,pass,[],p50 is checked against the bucket range; p90 is allowed to exceed the bucket because it represents tail effort. Independent timing is required before freeze.
lt-202,test,accepted_v0,direct_theorem_proving,T2,90,180,45-120,true,true,medium,true,0,0,,caution,"[""accepted_without_independent_timing""]",p50 is checked against the bucket range; p90 is allowed to exceed the bucket because it represents tail effort. Independent timing is required before freeze.
lt-204,test,accepted_v0,invariant_verification_ml_optimization,T2,100,200,45-120,true,true,medium,true,0,0,,caution,"[""accepted_without_independent_timing""]",p50 is checked against the bucket range; p90 is allowed to exceed the bucket because it represents tail effort. Independent timing is required before freeze.
lt-205,test,accepted_v0,small_formal_library_construction,T3,150,300,120-360,true,true,medium,true,0,0,,caution,"[""accepted_without_independent_timing""]",p50 is checked against the bucket range; p90 is allowed to exceed the bucket because it represents tail effort. Independent timing is required before freeze.
lt-206,test,accepted_v0,algorithm_correctness,T2,100,210,45-120,true,true,medium,true,0,0,,caution,"[""accepted_without_independent_timing""]",p50 is checked against the bucket range; p90 is allowed to exceed the bucket because it represents tail effort. Independent timing is required before freeze.
