check_id,area,status,evidence,current_state,limitation,next_action
provider_catalog_contract,runner_contract,pass,"provider_choices=[""anthropic"", ""command"", ""gemini"", ""local_reference"", ""openai""]; provider_env={""anthropic"": ""ANTHROPIC_LEAN_RUNNER"", ""command"": ""LEAN_MODEL_RUNNER"", ""gemini"": ""GEMINI_LEAN_RUNNER"", ""openai"": ""OPENAI_LEAN_RUNNER""}",Runner exposes local_reference plus command/openai/anthropic/gemini provider routes.,OpenAI and Gemini currently rely on the generic environment-command adapter contract.,Keep provider choices and PROVIDER_COMMAND_ENV synchronized with README and sweep plans.
external_runner_env_contract,runner_contract,pass,"expected_env=[""PROMPT_PATH"", ""MODEL"", ""TASK_ID"", ""ATTEMPT_INDEX"", ""SCAFFOLD"", ""LEAN_LOOKUP_COMMAND"", ""TASK_PUBLIC_DIR"", ""TASK_PUBLIC_FILES""]; missing_env=[]","External runner commands receive prompt path, task identity, scaffold, lookup command, and public-file metadata.",Static source checks do not prove a third-party adapter honors those variables.,Keep this contract stable and update adapter docs when adding runner-supplied fields.
bundled_provider_adapters,provider_adapter_surface,caution,"adapter_files={""anthropic"": true, ""gemini"": false, ""openai"": false}; generic_command_adapter=True","Anthropic has a minimal bundled adapter; OpenAI and Gemini are supported through external command env vars, not dedicated committed adapters.",Missing dedicated adapters are acceptable for local report readiness but limit turnkey provider comparability.,Add dedicated OpenAI and Gemini adapters or document external runner commands before a broad frontier sweep.
anthropic_adapter_static_safety,provider_adapter_surface,pass,reads_key_from_env=True; sends_header=True; prints_key=False; extracts_lean=True,The bundled Anthropic adapter reads credentials from the environment and emits Lean text.,This is a static audit; it does not call the provider API or validate current model availability.,Run a fresh smoke job with explicit cost/version notes before claiming provider performance.
tracked_secret_scan,credential_policy,pass,"{""match_count"": 0, ""sample"": []}",Tracked files contain no high-confidence API key patterns or direct API-key assignments.,Pattern scanning can miss unknown key formats and should not replace careful review.,Keep credentials in environment variables only and rerun this audit before publishing.
credential_and_no_fake_policy_text,credential_policy,pass,readme_no_fake=True; readme_env_keys=True; report_no_credentials=True,The public documentation states the no-fake-results and env-var credential policy.,Policy text is not evidence that future provider rows are externally reproduced.,"Require transcripts, run-result integrity, and provider-version notes for every future model run."
primary_sweep_command_plan,planned_sweep,pass,"planned_rows=18; planned_k_values=[""10""]; command_plan_ok=True",The committed model-sweep plan encodes accepted_v0 x scaffold pass@10 command templates.,The plan is prospective and does not mean the rows have been run.,Instantiate MODEL and runner env vars only when running real provider sweeps.
provider_transcript_evidence,run_data,pass,"{""missing_transcripts"": 0, ""parse_failures"": 0, ""rows"": 3, ""total_jsonl_lines"": 3}",Committed provider smoke rows have parseable transcript files.,Transcript presence does not make the tiny smoke set representative.,Keep transcript links mandatory and parse-check future provider sweeps.
local_qa_provider_separation,run_data,pass,"qa_stage_counts={""local_qa"": 66, ""model_sweep"": 3}; reference_solution_rows=26; plausible_wrong_rows=40",Local reference/wrong rows are separated from provider model_sweep rows.,This is hygiene evidence only; it does not validate provider capability.,Keep local QA rows excluded from model-performance summaries.
provider_sweep_coverage,run_data,block,"provider_models={""anthropic"": 3}; accepted_noninfra_rows=1; covered_cells=1/18; accepted_scaffolds={""one-shot"": 1}",Provider evidence is smoke-only and covers one accepted non-infra cell.,This blocks frontier/scaffold-effect claims but does not block local report readiness.,Run the full accepted_v0 x scaffold sweep after hosted QA and runner readiness checks are stable.
provider_claim_boundary,reporting,pass,"model_summary_fields=[""analysis_set"", ""covered_cells_any"", ""covered_cells_noninfra"", ""group"", ""group_by"", ""infra_fail_rows"", ""mean_pass_at_k"", ""notes"", ""planned_cells"", ""rows_noninfra"", ""rows_total"", ""successes"", ""timeout_rows"", ""wilson_high"", ""wilson_low""]; model_analysis_has_smoke_boundary=True",Model analysis separates smoke evidence from benchmark performance claims.,Future reports still need broader provider data before performance conclusions.,Keep unsupported frontier and scaffold claims blocked until planned coverage is real.
