deviation_id,protocol_area,planned_standard,current_state,deviation_status,rationale,claim_impact,current_disposition,required_resolution,source_artifacts
accepted_count_shortfall,task_portfolio,The playbook target is 20-50 accepted tasks after QA and filtering.,accepted=6; calibration=8; rejected=12; pending=0,open_blocker,The original pool was treated as candidates and pruned aggressively because many rows were automation-dominated or diagnostically weak.,"Blocks locked-benchmark, population-level, and stable subgroup-performance claims.",Report keeps v0.1 as a local research artifact with accepted-count caveats.,Author and hard-review additional T2/T3/T4 candidates until 20-50 accepted rows survive QA.,data/task_metadata.csv;reports/candidate_pruning_audit.md;reports/freeze_readiness_roadmap.md
time_horizon_depth_shortfall,task_portfolio,Accepted tasks should span a meaningful T2/T3/T4 time-horizon ladder.,"accepted_bucket_counts={""T2"": 5, ""T3"": 1}",open_blocker,The accepted core currently has mostly T2 rows and one T3 row; no T4 stretch row is accepted.,Blocks robust time-horizon scaling claims and weakens bucket-level comparisons.,Report states the current accepted core is a limited T2/T3 slice.,"Add independently reviewed T3/T4 tasks, including at least one T4 stretch row, before freeze.",data/task_metadata.csv;reports/human_time_calibration_audit.md;reports/freeze_readiness_roadmap.md
family_singleton_groups,task_portfolio,Family and capability summaries should not rely on singleton accepted groups.,"accepted_family_counts={""algorithm_correctness"": 1, ""direct_theorem_proving"": 1, ""informal_spec_to_formal"": 1, ""invariant_verification_ml_optimization"": 1, ""proof_repair_codebase"": 1, ""small_formal_library_construction"": 1}",intentional_scope_limit,"The six accepted tasks intentionally preserve family diversity, but every family is a singleton.",Blocks stable family-level performance means and capability-level generalization.,Report presents family coverage as composition evidence only.,Expand each reported family or avoid family-level estimates until groups have enough accepted tasks.,data/task_metadata.csv;reports/diagnostic_coverage_audit.md;reports/construct_validity_matrix.md
independent_timing_absent,calibration,Human-time estimates should be independently timed or reviewed separately from model runs.,human_time_observation_rows=0,open_blocker,"Author/reviewer p50/p90 estimates exist, but no independent timed solves are committed.",Blocks calibrated time-horizon and time-bucket trend claims.,Report marks human-time values as estimates and provides a timing collection packet.,Collect independent Lean-human timing rows for every accepted task.,data/human_time_observations.csv;reports/human_time_calibration_audit.md;reports/human_timing_collection_packet.md
independent_task_review_absent,task_review,Accepted tasks should have non-author task-quality review before benchmark-grade claims.,independent_task_review_rows=0,open_blocker,"The independent review schema and packet are ready, but no real non-author review rows are committed.",Blocks independent task-quality and benchmark-grade accepted-core claims.,Report keeps accepted-core quality as internal review evidence only.,Collect non-author review rows for every accepted_v0 task and rerun review-status audits.,data/independent_task_reviews.csv;reports/independent_task_review_packet.md;reports/independent_review_status_audit.md
scaffold_passk_sweeps_missing,model_sweeps,The planned accepted_v0 x scaffold ladder should have exact-k non-infra rows before scaffold-effect claims.,"planned_cells=18; passk_ready=0; coverage_statuses={""missing"": 17, ""smoke_only"": 1}",open_blocker,Only a one-shot smoke cell has non-infra provider evidence; lookup and lookup_unlimited cells are unobserved.,"Blocks empirical scaffold-effect, lookup-benefit, and iterative-debug claims.",Report includes only the prospective scaffold plan and strict coverage ledger.,Run exact-k provider sweeps across accepted_v0 x one-shot/lookup/lookup_unlimited cells.,data/model_sweep_coverage_audit.csv;reports/evaluation_protocol.md;reports/model_sweep_coverage_audit.md
provider_evidence_smoke_only,model_sweeps,Frontier/open-model claims require documented provider rows across the planned accepted-core sweep.,"nonlocal_rows=3; noninfra_rows=2; evidence_grades={""author_estimate_or_plan"": 2, ""local_generated_audit"": 3, ""local_manual_review"": 1, ""local_mechanical_validation"": 3, ""none"": 1, ""provider_smoke"": 1}",open_blocker,Committed non-local rows are smoke provenance only and include too little coverage for model estimates.,"Blocks frontier-performance, model-ranking, and benchmark pass-rate claims.",Report uses provider rows as provenance only and keeps performance claims blocked.,"Run documented provider sweeps after local and hosted QA stabilize, preserving transcripts and model versions.",data/run_results.csv;reports/model_run_analysis.md;reports/evidence_strength_matrix.md
failure_distribution_unavailable,failure_analysis,Failure-mode distributions should be based on broad failed provider runs with transcript review.,transcript_queue_rows=3; failure_review_rows=3,open_blocker,"The codebook, queue, and smoke review workflow exist, but broad failed provider rows are absent.",Blocks dominant-failure-mode and distributional taxonomy claims.,Report presents the workflow and smoke adjudications only.,"After broad sweeps, complete independent transcript review before reporting failure distributions.",reports/transcript_review_packet.md;reports/failure_label_review_audit.md;data/failure_label_reviews.csv
performance_plots_omitted,statistical_reporting,Recommended performance plots should report raw n and uncertainty only after adequate coverage.,statistical_block_rows=5; blocked_figure_rows=5,resolved_by_claim_control,Performance plots are intentionally omitted because planned provider/scaffold coverage is missing.,"Prevents accidental publication of unsupported pass@10, scaffold, family, or bucket performance plots.",Figure manifest and statistical-reporting audit block performance plots while allowing descriptive task-count figures.,Regenerate performance plots only after exact-k provider coverage and accepted-task scale meet the statistical thresholds.,reports/statistical_reporting_audit.md;reports/figure_manifest.md;reports/statistical_analysis_plan.md
hosted_qa_not_run,hosted_qa,"Final benchmark delivery requires hosted QA, Env Linter, finding dispositions, and exact problem-version mappings.",hosted_block_rows=6,open_blocker,"Taiga packaging scaffolds and local wrapper-isolation checks exist, but no hosted result rows are committed.","Blocks hosted-QA, locked-benchmark, and final problem-version claims.",Report labels hosted readiness as local preparation only.,"Run hosted preflight, Full Env QA, Env Linter, disposition findings, and commit immutable version mappings.",reports/hosted_qa_readiness_audit.md;reports/taiga_wrapper_isolation_audit.md;taiga/problems_metadata.template.json
non_core_rows_retained_but_excluded,task_portfolio,Rejected and calibration rows should not enter accepted-core benchmark statistics.,calibration=8; rejected=12; blocked_claims=5,resolved_by_quality_control,The repo retains non-core rows for auditability and lower-bound calibration but excludes them from accepted-core claims.,Prevents easy or duplicate tasks from inflating accepted-core quality or performance statistics.,"Metadata, candidate-pruning, and report-count audits separate accepted, calibration, and rejected rows.",Maintain status separation whenever tasks are added or downgraded.,data/task_metadata.csv;reports/candidate_pruning_audit.md;reports/report_count_consistency_audit.md
