task_id,title,split,family,acceptance_status,pincheck_lines,theorem_shape_checks,positive_examples,negative_examples,parameterized_examples,exact_eval_examples,wrong_submission_count,wrongs_failing_public_stage,wrongs_failing_hidden_pin_stage,wrongs_failing_mixed_stage,wrongs_failing_unknown_stage,wrong_stage_summary,submission_surface,same_signature_hidden_wrong_feasibility,hidden_pin_role,pin_coverage_grade,review_note
lt-001,append correctness for a list sum,dev,algorithm_correctness,calibration_only,14,1,4,0,1,2,2,0,2,0,0,"{""hidden_pin"": 2}",mutable_definitions_plus_theorems,feasible_via_definition_semantics,semantic_positive_guard_only,signature_plus_hidden_failure,Calibration row; use as harness/pin regression evidence only.
lt-002,append correctness for a Boolean counter,dev,algorithm_correctness,calibration_only,14,1,4,0,1,2,2,0,2,0,0,"{""hidden_pin"": 2}",mutable_definitions_plus_theorems,feasible_via_definition_semantics,semantic_positive_guard_only,signature_plus_hidden_failure,Calibration row; use as harness/pin regression evidence only.
lt-003,queue enqueueAll size repair,dev,proof_repair_codebase,calibration_only,18,2,4,0,4,2,2,0,2,0,0,"{""hidden_pin"": 2}",mutable_definitions_plus_theorems,feasible_via_definition_semantics,semantic_positive_guard_only,signature_plus_hidden_failure,Calibration row; use as harness/pin regression evidence only.
lt-004,formalize prefix as append by a suffix,dev,informal_spec_to_formal,calibration_only,21,2,3,1,0,1,2,0,2,0,0,"{""hidden_pin"": 2}",mutable_definitions_plus_theorems,feasible_via_definition_semantics,semantic_positive_negative_guard,semantic_examples_exercised,Calibration row; use as harness/pin regression evidence only.
lt-005,capped projection invariant and idempotence,dev,invariant_verification_ml_optimization,rejected_too_easy,12,2,3,0,1,2,1,0,1,0,0,"{""hidden_pin"": 1}",mutable_definitions_plus_theorems,feasible_via_definition_semantics,semantic_positive_guard_only,signature_plus_hidden_failure,Rejected archive row; retained as pruning evidence.
lt-201,multi-file cache touchAll proof repair,dev,proof_repair_codebase,accepted_v0,29,4,6,0,6,4,2,2,0,0,0,"{""public_stage"": 2}",proof_only_fixed_statements,structurally_infeasible_for_same_signature_proof_wrongs,signature_and_downstream_use_guard,pins_not_exercised_by_wrongs,Accepted proof-only row: same-signature semantic wrong proofs are structurally infeasible once Lean accepts the fixed theorem; hidden pins guard signatures and downstream use.
lt-203,formalize exact list coverage modulo multiplicity,dev,informal_spec_to_formal,accepted_v0,31,4,3,2,1,0,2,0,2,0,0,"{""hidden_pin"": 2}",mutable_definitions_plus_theorems,feasible_via_definition_semantics,semantic_positive_negative_guard,semantic_pins_exercised,Accepted row has at least one wrong submission reaching hidden pins and nontrivial examples.
lt-101,tail-recursive reverse preserves length,test,algorithm_correctness,calibration_only,15,2,3,0,1,2,2,1,1,0,0,"{""hidden_pin"": 1, ""public_stage"": 1}",mutable_definitions_plus_theorems,feasible_via_definition_semantics,semantic_positive_guard_only,signature_plus_hidden_failure,Calibration row; use as harness/pin regression evidence only.
lt-102,extracting present optional values cannot increase length,test,algorithm_correctness,rejected_too_easy,10,1,2,0,1,1,1,1,0,0,0,"{""public_stage"": 1}",mutable_definitions_plus_theorems,feasible_via_definition_semantics,semantic_positive_guard_only,pins_not_exercised_by_wrongs,Rejected archive row; retained as pruning evidence.
lt-103,mirroring a binary tree preserves size,test,algorithm_correctness,rejected_too_easy,10,1,2,0,1,1,1,0,1,0,0,"{""hidden_pin"": 1}",mutable_definitions_plus_theorems,feasible_via_definition_semantics,semantic_positive_guard_only,signature_plus_hidden_failure,Rejected archive row; retained as pruning evidence.
