section_id,heading,status,evidence,source_artifacts,missing_sources,missing_phrases,limitation,next_action
main_section_inventory,all mapped sections,pass,main headings=40; mapped specs=39; unmapped=[]; missing_expected=[],reports/metr_style_report.md,[],[],This inventory guards against adding unsupported main-report sections.,Update SECTION_SPECS whenever the main report gains or loses a section.
abstract_scope,Abstract,pass,section_present=True; sources=3; source_mentions_in_main_report=2; missing_sources=0; missing_phrases=0,data/task_metadata.csv;reports/accepted_task_review.md;data/run_results.csv,[],[],"The abstract is a scope boundary, not evidence for benchmark-scale claims.",Keep sample-size and locked-benchmark caveats in the front matter.
reader_guide,Reader Guide,pass,section_present=True; sources=2; source_mentions_in_main_report=2; missing_sources=0; missing_phrases=0,reports/concise_metr_report.md;reports/evidence_appendix.md,[],[],The reader guide explains report layering; it is not an evidence source by itself.,"Keep main, concise, and appendix roles distinct."
research_questions,Research Questions,pass,section_present=True; sources=2; source_mentions_in_main_report=1; missing_sources=0; missing_phrases=0,docs/lean_eval_project_playbook.md;data/model_result_summary.csv,[],[],The scaffold-effect question remains a planned analysis until provider sweeps exist.,Keep unsupported research questions marked as blocked by evidence.
unit_scoring,Unit Of Analysis And Scoring,pass,section_present=True; sources=4; source_mentions_in_main_report=2; missing_sources=0; missing_phrases=0,data/run_results_schema.json;harness/forbidden_constructs.py;scripts/validate_task.py;docs/axiom_policy.md,[],[],This describes scoring semantics; it does not establish model performance coverage.,Keep pass@k and local-QA boundaries explicit whenever run-result rows change.
data_schema_manifest,Data Schema Manifest,pass,section_present=True; sources=6; source_mentions_in_main_report=6; missing_sources=0; missing_phrases=0,reports/data_schema_manifest.md;data/data_schema_manifest.csv;data/run_results_schema.json;data/task_metadata_schema.json;data/failure_label_review_schema.json;data/independent_task_review_schema.json,[],[],The data schema manifest validates row shape and schema boundaries; it does not make sample-size or benchmark-readiness claims.,"Regenerate the manifest after schema, run-result, timing, or transcript-review data changes."
task_selection,Task Selection Protocol,pass,section_present=True; sources=3; source_mentions_in_main_report=2; missing_sources=0; missing_phrases=0,data/task_metadata.csv;reports/accepted_task_review.md;reports/difficulty_audit.md,[],[],"Task status is internal v0.1 review status, not a hosted/frozen benchmark status.",Keep metadata status as the source of truth for accepted/calibration/rejected rows.
candidate_pruning,Candidate Pruning Audit,pass,section_present=True; sources=5; source_mentions_in_main_report=2; missing_sources=0; missing_phrases=0,data/candidate_pruning_audit.csv;reports/candidate_pruning_audit.md;data/task_metadata.csv;data/difficulty_audit.csv;data/task_quality_matrix.csv,[],[],The pruning audit explains internal v0.1 selection decisions; it is not evidence for benchmark-scale sufficiency.,"Regenerate candidate-pruning rows after metadata, difficulty, or task-quality changes."
accepted_core,Accepted v0.1 Core Task Set,pass,section_present=True; sources=3; source_mentions_in_main_report=0; missing_sources=0; missing_phrases=0,data/task_metadata.csv;data/difficulty_audit.csv;reports/task_quality_matrix.md,[],[],The accepted set is small and includes caveated rows.,Do not use this table for population-level benchmark claims.
accepted_evidence_matrix,Accepted Core Evidence Matrix,pass,section_present=True; sources=3; source_mentions_in_main_report=1; missing_sources=0; missing_phrases=0,data/difficulty_audit.csv;reports/difficulty_audit.md;data/task_quality_matrix.csv,[],[],"Mechanical proof signals are useful triage evidence, not independent task-quality proof.",Use the accepted-task review before strengthening benchmark-grade wording.
accepted_task_cards,Accepted Task Cards,pass,section_present=True; sources=5; source_mentions_in_main_report=3; missing_sources=0; missing_phrases=0,data/accepted_task_cards.csv;reports/accepted_task_cards.md;data/pin_coverage_audit.csv;data/task_asset_manifest.csv;data/run_results.csv,[],[],Task cards synthesize existing local evidence and caveats; they are not a new acceptance decision or performance evidence.,"Regenerate accepted-task cards after task, pin, asset, validation, or local-QA evidence changes."
independent_task_review_packet,Independent Task Review Packet,pass,section_present=True; sources=6; source_mentions_in_main_report=4; missing_sources=0; missing_phrases=0,data/independent_task_review_plan.csv;data/independent_task_review_template.csv;data/independent_task_reviews.csv;data/independent_review_status_audit.csv;reports/independent_task_review_packet.md;reports/independent_review_status_audit.md,[],[],The packet makes review collection operational; it does not substitute for completed non-author review rows.,Collect non-author task-quality reviews and rerun the status audit before strengthening accepted-task claims.
calibration_tasks,Calibration-Only Release Tasks,pass,section_present=True; sources=3; source_mentions_in_main_report=0; missing_sources=0; missing_phrases=0,data/task_metadata.csv;data/difficulty_audit.csv;reports/task_quality_matrix.md,[],[],Calibration-only tasks are release artifacts but not accepted-core benchmark rows.,Keep calibration rows excluded from accepted-core performance claims.
portfolio_counts,Portfolio Counts,pass,section_present=True; sources=6; source_mentions_in_main_report=2; missing_sources=0; missing_phrases=0,data/task_metadata.csv;data/requirement_coverage.csv;data/claim_authorization_matrix.csv;data/release_decision_log.csv;data/freeze_readiness_roadmap.csv;data/report_count_consistency_audit.csv,[],[],Counts summarize v0.1 artifacts and include explicit blockers.,Regenerate counts after any task-status or claim-audit change.
report_count_consistency,Report Count Consistency Audit,pass,section_present=True; sources=5; source_mentions_in_main_report=4; missing_sources=0; missing_phrases=0,data/report_count_consistency_audit.csv;reports/report_count_consistency_audit.md;data/task_metadata.csv;data/run_results.csv;reports/validation_manifest.json,[],[],Count consistency prevents stale report numbers; it does not make the underlying sample sizes sufficient.,"Regenerate this audit after report, manifest, task, run, claim, or gate count changes."
peer_review_matrix,Peer Review Matrix,pass,section_present=True; sources=4; source_mentions_in_main_report=3; missing_sources=0; missing_phrases=0,data/peer_review_matrix.csv;reports/peer_review_matrix.md;data/requirement_coverage.csv;data/claim_authorization_matrix.csv,[],[],The peer-review matrix synthesizes existing audits; it does not resolve blocked evidence gaps.,"Regenerate the matrix after requirement, claim, validation, model-result, or roadmap evidence changes."
capabilities,What The Tasks Measure,pass,section_present=True; sources=4; source_mentions_in_main_report=2; missing_sources=0; missing_phrases=0,data/diagnostic_coverage_audit.csv;data/construct_validity_matrix.csv;data/task_quality_matrix.csv;reports/accepted_task_review.md,[],[],Capability coverage is singleton-heavy in the accepted core.,Use diagnostic-coverage rows before making capability-level claims.
