check_id,area,status,accepted_task_count,accepted_task_ids,release_task_count,evidence,diagnostic_limit,next_action
family_mix,portfolio_shape,pass,6,"[""lt-201"", ""lt-202"", ""lt-203"", ""lt-204"", ""lt-205"", ""lt-206""]",14,"accepted_family_counts={""algorithm_correctness"": 1, ""direct_theorem_proving"": 1, ""informal_spec_to_formal"": 1, ""invariant_verification_ml_optimization"": 1, ""proof_repair_codebase"": 1, ""small_formal_library_construction"": 1}; missing_playbook_families=[]","Family diversity is represented, but most families have only one accepted task.",Add more accepted rows per family before using family-level performance summaries.
direct_theorem_balance,portfolio_shape,pass,1,"[""lt-202""]",14,direct_theorem_tasks=1; accepted_tasks=6; direct_limit=2,Direct theorem proving is present but does not dominate accepted_v0.,Keep direct theorem proving as one slice of the portfolio rather than the main task type.
capability_library_search,diagnostic_capability,caution,1,"[""lt-202""]",14,"capability=library_search; source_field=requires_library_search; accepted_task_ids=[""lt-202""]","Capability is represented by a singleton accepted task, so task-specific quirks can dominate.",Add at least two independently reviewed accepted tasks for each core diagnostic capability before making capability-level claims.
capability_theorem_decomposition,diagnostic_capability,pass,6,"[""lt-201"", ""lt-202"", ""lt-203"", ""lt-204"", ""lt-205"", ""lt-206""]",14,"capability=theorem_decomposition; source_field=requires_decomposition; accepted_task_ids=[""lt-201"", ""lt-202"", ""lt-203"", ""lt-204"", ""lt-205"", ""lt-206""]",Capability is represented by more than one accepted task.,Add at least two independently reviewed accepted tasks for each core diagnostic capability before making capability-level claims.
capability_semantic_formalization,diagnostic_capability,caution,1,"[""lt-203""]",14,"capability=semantic_formalization; source_field=requires_semantic_formalization; accepted_task_ids=[""lt-203""]","Capability is represented by a singleton accepted task, so task-specific quirks can dominate.",Add at least two independently reviewed accepted tasks for each core diagnostic capability before making capability-level claims.
capability_proof_debugging,diagnostic_capability,pass,2,"[""lt-201"", ""lt-203""]",14,"capability=proof_debugging; source_field=requires_proof_debugging; accepted_task_ids=[""lt-201"", ""lt-203""]",Capability is represented by more than one accepted task.,Add at least two independently reviewed accepted tasks for each core diagnostic capability before making capability-level claims.
capability_codebase_navigation,diagnostic_capability,caution,1,"[""lt-201""]",14,"capability=codebase_navigation; source_field=requires_codebase_navigation; accepted_task_ids=[""lt-201""]","Capability is represented by a singleton accepted task, so task-specific quirks can dominate.",Add at least two independently reviewed accepted tasks for each core diagnostic capability before making capability-level claims.
capability_invariant_design,diagnostic_capability,pass,2,"[""lt-204"", ""lt-206""]",14,"capability=invariant_design; source_field=requires_invariant_design; accepted_task_ids=[""lt-204"", ""lt-206""]",Capability is represented by more than one accepted task.,Add at least two independently reviewed accepted tasks for each core diagnostic capability before making capability-level claims.
capability_long_horizon_construction,diagnostic_capability,pass,3,"[""lt-204"", ""lt-205"", ""lt-206""]",14,"capability=long_horizon_construction; source_field=requires_long_horizon_construction; accepted_task_ids=[""lt-204"", ""lt-205"", ""lt-206""]",Capability is represented by more than one accepted task.,Add at least two independently reviewed accepted tasks for each core diagnostic capability before making capability-level claims.
failure_mode_metadata_density,diagnostic_metadata,pass,6,"[""lt-201"", ""lt-202"", ""lt-203"", ""lt-204"", ""lt-205"", ""lt-206""]",14,"accepted_failure_mode_counts={""lt-201"": 3, ""lt-202"": 4, ""lt-203"": 3, ""lt-204"": 3, ""lt-205"": 3, ""lt-206"": 4}; sparse_failure_mode_tasks=[]","Expected failure modes are documented, but they are author forecasts until provider transcripts accumulate.",Compare predicted failure modes to independently labeled model transcripts after the full scaffold sweep.
capability_failure_label_alignment,failure_taxonomy,pass,6,"[""lt-201"", ""lt-202"", ""lt-203"", ""lt-204"", ""lt-205"", ""lt-206""]",14,"capability_label_map={""codebase_navigation"": ""codebase_navigation"", ""invariant_design"": ""invariant_design"", ""library_search"": ""library_search"", ""long_horizon_construction"": ""timeout"", ""proof_debugging"": ""proof_debugging"", ""semantic_formalization"": ""semantic_formalization"", ""theorem_decomposition"": ""theorem_decomposition""}; missing_label_mappings=[]","Failure labels can describe the intended capabilities, but committed provider transcripts are too sparse for distributional analysis.",Use the mapped labels during transcript review and revisit the taxonomy after broad model sweeps.
automation_caveat_coverage,task_validity,pass,2,"[""lt-201"", ""lt-206""]",14,"automation_dominated_accepted=[""lt-201"", ""lt-206""]; automation_without_caveat=[]","Automation-dominated retained tasks are visible caveat rows, not hidden as benchmark-grade proof difficulty.",Keep automation caveats in task metadata and do not use these rows as standalone evidence of long-horizon proof difficulty.
one_shot_solvability_balance,task_validity,pass,0,[],14,likely_or_very_likely_one_shot=[]; accepted_quality_rows=6,"The accepted core is not dominated by rows expected to be easy one-shot, but estimates are internal judgments.",Replace internal solvability estimates with measured scaffold runs before performance claims.
time_horizon_construct_limit,construct_validity,block,6,"[""lt-201"", ""lt-202"", ""lt-203"", ""lt-204"", ""lt-205"", ""lt-206""]",14,"accepted_bucket_counts={""T2"": 5, ""T3"": 1}",Accepted_v0 has no T4 task and only one T3 task; the current set cannot support strong time-horizon claims.,"Add independently timed T3/T4 tasks, including a T4 stretch row, before claiming robust time-horizon measurement."
quality_matrix_join_integrity,data_integrity,pass,6,"[""lt-201"", ""lt-202"", ""lt-203"", ""lt-204"", ""lt-205"", ""lt-206""]",14,accepted_metadata_rows=6; accepted_quality_rows=6; missing_quality_rows=[],Diagnostic coverage depends on the task quality matrix joining metadata and difficulty audit rows correctly.,Regenerate difficulty audit and task quality matrix before this audit whenever task metadata changes.
