row_index,task_id,qa_stage,model,model_version,scaffold,job_id,transcript_link,transcript_exists,transcript_parse_ok,transcript_records,matching_transcript_records,attempts_total,attempts_completed,k,successes_out_of_k,pass_at_k,score_values_count,score_values_successes,metadata_match_ok,arithmetic_ok,failure_label_known,transcript_consistency_ok,integrity_status,issues
1,lt-001,model_sweep,anthropic,claude-sonnet-4-6,one-shot,anthropic-claude-sonnet-4-6-one-shot-1780206109,transcripts/anthropic-claude-sonnet-4-6-one-shot-1780206109/lt-001.jsonl,true,true,1,1,1,1,1,1,1.0,1,1,true,true,true,true,pass,
2,lt-201,model_sweep,anthropic,claude-sonnet-4-6,one-shot,anthropic-claude-sonnet-4-6-one-shot-1780206126,transcripts/anthropic-claude-sonnet-4-6-one-shot-1780206126/lt-201.jsonl,true,true,1,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
3,lt-201,model_sweep,anthropic,claude-sonnet-4-6,one-shot,anthropic-claude-sonnet-4-6-one-shot-1780206167,transcripts/anthropic-claude-sonnet-4-6-one-shot-1780206167/lt-201.jsonl,true,true,1,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
4,lt-001,local_qa,reference_solution,lean-4.28.0-local,one-shot,local-qa-reference_solution-lt-001,transcripts/local-qa/lt-001.jsonl,true,true,3,1,1,1,1,1,1.0,1,1,true,true,true,true,pass,
5,lt-001,local_qa,plausible_wrong:LengthInsteadOfSum,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:LengthInsteadOfSum-lt-001,transcripts/local-qa/lt-001.jsonl,true,true,3,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
6,lt-001,local_qa,plausible_wrong:Weakened,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:Weakened-lt-001,transcripts/local-qa/lt-001.jsonl,true,true,3,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
7,lt-002,local_qa,reference_solution,lean-4.28.0-local,one-shot,local-qa-reference_solution-lt-002,transcripts/local-qa/lt-002.jsonl,true,true,3,1,1,1,1,1,1.0,1,1,true,true,true,true,pass,
8,lt-002,local_qa,plausible_wrong:CountsAllEntries,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:CountsAllEntries-lt-002,transcripts/local-qa/lt-002.jsonl,true,true,3,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
9,lt-002,local_qa,plausible_wrong:Weakened,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:Weakened-lt-002,transcripts/local-qa/lt-002.jsonl,true,true,3,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
10,lt-003,local_qa,reference_solution,lean-4.28.0-local,one-shot,local-qa-reference_solution-lt-003,transcripts/local-qa/lt-003.jsonl,true,true,3,1,1,1,1,1,1.0,1,1,true,true,true,true,pass,
11,lt-003,local_qa,plausible_wrong:FrontQueue,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:FrontQueue-lt-003,transcripts/local-qa/lt-003.jsonl,true,true,3,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
12,lt-003,local_qa,plausible_wrong:OldApiProof,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:OldApiProof-lt-003,transcripts/local-qa/lt-003.jsonl,true,true,3,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
13,lt-004,local_qa,reference_solution,lean-4.28.0-local,one-shot,local-qa-reference_solution-lt-004,transcripts/local-qa/lt-004.jsonl,true,true,3,1,1,1,1,1,1.0,1,1,true,true,true,true,pass,
14,lt-004,local_qa,plausible_wrong:EndpointsOnly,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:EndpointsOnly-lt-004,transcripts/local-qa/lt-004.jsonl,true,true,3,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
15,lt-004,local_qa,plausible_wrong:Vacuous,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:Vacuous-lt-004,transcripts/local-qa/lt-004.jsonl,true,true,3,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
16,lt-005,local_qa,reference_solution,lean-4.28.0-local,one-shot,local-qa-reference_solution-lt-005,transcripts/local-qa/lt-005.jsonl,true,true,2,1,1,1,1,1,1.0,1,1,true,true,true,true,pass,
17,lt-005,local_qa,plausible_wrong:IdentityProjection,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:IdentityProjection-lt-005,transcripts/local-qa/lt-005.jsonl,true,true,2,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
18,lt-201,local_qa,reference_solution,lean-4.28.0-local,one-shot,local-qa-reference_solution-lt-201,transcripts/local-qa/lt-201.jsonl,true,true,3,1,1,1,1,1,1.0,1,1,true,true,true,true,pass,
19,lt-201,local_qa,plausible_wrong:OldEntryOnly,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:OldEntryOnly-lt-201,transcripts/local-qa/lt-201.jsonl,true,true,3,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
20,lt-201,local_qa,plausible_wrong:SingletonBatchOnly,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:SingletonBatchOnly-lt-201,transcripts/local-qa/lt-201.jsonl,true,true,3,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
21,lt-203,local_qa,reference_solution,lean-4.28.0-local,one-shot,local-qa-reference_solution-lt-203,transcripts/local-qa/lt-203.jsonl,true,true,3,1,1,1,1,1,1.0,1,1,true,true,true,true,pass,
22,lt-203,local_qa,plausible_wrong:ListEquality,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:ListEquality-lt-203,transcripts/local-qa/lt-203.jsonl,true,true,3,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
23,lt-203,local_qa,plausible_wrong:Vacuous,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:Vacuous-lt-203,transcripts/local-qa/lt-203.jsonl,true,true,3,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
24,lt-101,local_qa,reference_solution,lean-4.28.0-local,one-shot,local-qa-reference_solution-lt-101,transcripts/local-qa/lt-101.jsonl,true,true,3,1,1,1,1,1,1.0,1,1,true,true,true,true,pass,
25,lt-101,local_qa,plausible_wrong:AppendInsteadOfReverse,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:AppendInsteadOfReverse-lt-101,transcripts/local-qa/lt-101.jsonl,true,true,3,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
26,lt-101,local_qa,plausible_wrong:WeakHelper,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:WeakHelper-lt-101,transcripts/local-qa/lt-101.jsonl,true,true,3,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
